date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-02-08,2.7571727535084243,3.1036949817477817,2.410650525269067,1,2.5,94,7,TRUE,TRUE,9,9
2020-02-09,2.6656108763969253,3.0111260788149328,2.320095673978918,1,2.5,135,9,TRUE,TRUE,9,9
2020-02-10,2.703530078520982,3.0763982303461033,2.3306619266958606,1,2.5,165,10,TRUE,TRUE,9,9
2020-02-11,2.8058626317088753,3.222494221640153,2.3892310417775975,1,2.5,194,69,TRUE,TRUE,9,9
2020-02-12,2.879765168262552,3.3153142928692114,2.444216043655892,1,2.5,248,35,TRUE,TRUE,9,9
2020-02-13,2.8771700018362174,3.2826647728271015,2.4716752308453334,1,2.5,295,68,TRUE,TRUE,9,9
2020-02-14,2.8122174031285723,3.165973000165522,2.4584618060916226,1,2.5,358,33,TRUE,TRUE,9,9
2020-02-15,2.717912802810636,3.025685791166312,2.4101398144549595,1,2.5,485,60,TRUE,TRUE,9,9
2020-02-16,2.6139108576103633,2.892612019306374,2.3352096959143527,1,2.5,557,55,TRUE,TRUE,9,9
2020-02-17,2.507822025953129,2.7898770388927883,2.2257670130134697,1,2.5,647,73,TRUE,TRUE,9,9
2020-02-18,2.4102952594775715,2.70900526800785,2.111585250947293,1,2.5,866,168,TRUE,TRUE,9,9
2020-02-19,2.3250923839843574,2.621611996578491,2.0285727713902237,1,2.5,1103,168,TRUE,TRUE,9,9
2020-02-20,2.245472746832772,2.52934731545922,1.9615981782063237,1,2.5,1288,225,TRUE,TRUE,9,9
2020-02-21,2.1701501325339603,2.4376026949126426,1.9026975701552777,1,2.5,1594,270,FALSE,TRUE,9,9
2020-02-22,2.1077891916908578,2.3476424051959657,1.86793597818575,1,2.435483870967742,1984,416,FALSE,TRUE,9,9
2020-02-23,2.066412199867639,2.2809513174239,1.851873082311378,1,2.370967741935484,2414,340,FALSE,TRUE,9,9
2020-02-24,2.057616061774049,2.2653710008691252,1.8498611226789725,1,2.306451612903226,2765,195,FALSE,TRUE,9,9
2020-02-25,2.082501938110015,2.2951589224626865,1.8698449537573438,1,2.241935483870968,3343,681,TRUE,TRUE,9,9
