date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-02-08,2.7571727535084243,3.360087727009031,2.1542577800078178,1,2.5,94,7,TRUE,TRUE,7,7
2020-02-09,2.6656108763969253,3.2549181690561086,2.076303583737742,1,2.5,135,9,TRUE,TRUE,7,7
2020-02-10,2.703530078520982,3.2809092628696543,2.1261508941723095,1,2.5,165,10,TRUE,TRUE,7,7
2020-02-11,2.8058626317088753,3.4006688242512917,2.211056439166459,1,2.5,194,69,TRUE,TRUE,7,7
2020-02-12,2.879765168262552,3.490506243479485,2.2690240930456187,1,2.5,248,35,TRUE,TRUE,7,7
2020-02-13,2.8771700018362174,3.4510861374876862,2.3032538661847486,1,2.5,295,68,TRUE,TRUE,7,7
2020-02-14,2.8122174031285723,3.3410633117451347,2.28337149451201,1,2.5,358,33,TRUE,TRUE,7,7
2020-02-15,2.717912802810636,3.227349558748236,2.208476046873036,1,2.5,485,60,TRUE,TRUE,7,7
2020-02-16,2.6139108576103633,3.103584417060085,2.124237298160642,1,2.5,557,55,TRUE,TRUE,7,7
2020-02-17,2.507822025953129,2.98867554271565,2.026968509190608,1,2.5,647,73,TRUE,TRUE,7,7
2020-02-18,2.4102952594775715,2.8949680442560153,1.925622474699128,1,2.5,866,168,TRUE,TRUE,7,7
2020-02-19,2.3250923839843574,2.7979167639048197,1.852268004063895,1,2.5,1103,168,TRUE,TRUE,7,7
2020-02-20,2.245472746832772,2.7025074422349045,1.7884380514306397,1,2.5,1288,225,TRUE,TRUE,7,7
2020-02-21,2.1701501325339603,2.6140934767596136,1.726206788308307,1,2.5,1594,270,TRUE,TRUE,7,7
2020-02-22,2.1077891916908578,2.5299761199097364,1.685602263471979,1,2.435483870967742,1984,416,TRUE,TRUE,7,7
2020-02-23,2.066412199867639,2.472954010669306,1.659870389065972,1,2.370967741935484,2414,340,TRUE,TRUE,7,7
2020-02-24,2.057616061774049,2.456912574019002,1.6583195495290959,1,2.306451612903226,2765,195,TRUE,TRUE,7,7
2020-02-25,2.082501938110015,2.4674508249654585,1.6975530512545718,1,2.241935483870968,3343,681,TRUE,TRUE,7,7
2020-02-26,2.1257390655572457,2.5077160056567744,1.743762125457717,1,2.1774193548387095,3943,868,TRUE,TRUE,7,7
2020-02-27,2.1439962025551282,2.538242702673221,1.7497497024370356,1,2.1129032258064515,4541,1583,TRUE,TRUE,7,7
2020-02-28,2.1089365931019066,2.496066060142991,1.7218071260608225,1,2.0483870967741935,5476,1480,TRUE,TRUE,7,7
2020-02-29,2.0344490162891122,2.3940517299753923,1.6748463026028324,1,1.9838709677419355,6050,1950,TRUE,TRUE,7,7
2020-03-01,1.952995358601405,2.284034396318183,1.6219563208846275,1,1.9193548387096775,6878,1115,TRUE,TRUE,7,7
2020-03-02,1.8805105864122993,2.1805207523928076,1.580500420431791,1,1.8548387096774195,7866,548,TRUE,TRUE,7,7
2020-03-03,1.8136376585006662,2.0827445077197946,1.5445308092815377,1,1.7903225806451613,8849,2693,TRUE,TRUE,7,7
2020-03-04,1.7424435029364607,1.994225656198656,1.4906613496742653,1,1.7258064516129032,9683,2931,TRUE,TRUE,7,7
2020-03-05,1.6620033143848163,1.9081292088919717,1.415877419877661,1,1.6612903225806452,10585,4151,TRUE,TRUE,7,7
2020-03-06,1.5721863079597789,1.8215593588889392,1.3228132570306186,1,1.596774193548387,11464,3667,TRUE,TRUE,7,7
2020-03-07,1.4766272693457514,1.7355909624285712,1.2176635762629315,1,1.532258064516129,12645,5268,TRUE,TRUE,7,7
