date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-02-08,2.7571727535084243,3.118587606701931,2.3957579003149174,1,2.5,94,7,TRUE,TRUE,13,13
2020-02-09,2.6656108763969253,2.9938863186785536,2.337335434115297,1,2.5,135,9,TRUE,TRUE,13,13
2020-02-10,2.703530078520982,3.005177782685833,2.401882374356131,1,2.5,165,10,TRUE,TRUE,13,13
2020-02-11,2.8058626317088753,3.108084830433219,2.5036404329845316,1,2.5,194,69,FALSE,TRUE,13,13
2020-02-12,2.879765168262552,3.1924365976862514,2.567093738838852,1,2.5,248,35,FALSE,TRUE,13,13
2020-02-13,2.8771700018362174,3.1746389968125452,2.5797010068598896,1,2.5,295,68,FALSE,TRUE,13,13
2020-02-14,2.8122174031285723,3.0850465150050677,2.539388291252077,1,2.5,358,33,FALSE,TRUE,13,13
2020-02-15,2.717912802810636,2.9720042987773936,2.463821306843878,1,2.5,485,60,TRUE,TRUE,13,13
2020-02-16,2.6139108576103633,2.8592195113423817,2.368602203878345,1,2.5,557,55,TRUE,TRUE,13,13
2020-02-17,2.507822025953129,2.770334953556297,2.245309098349961,1,2.5,647,73,TRUE,TRUE,13,13
2020-02-18,2.4102952594775715,2.697760995754141,2.122829523201002,1,2.5,866,168,TRUE,TRUE,13,13
2020-02-19,2.3250923839843574,2.6172622454730092,2.0329225224957055,1,2.5,1103,168,TRUE,TRUE,13,13
2020-02-20,2.245472746832772,2.5297295681706973,1.9612159254948467,1,2.5,1288,225,TRUE,TRUE,13,13
2020-02-21,2.1701501325339603,2.437078251128309,1.9032220139396119,1,2.5,1594,270,FALSE,TRUE,13,13
2020-02-22,2.1077891916908578,2.340713250783401,1.8748651325983146,1,2.435483870967742,1984,416,FALSE,TRUE,13,13
2020-02-23,2.066412199867639,2.2634525278962006,1.8693718718390773,1,2.370967741935484,2414,340,FALSE,TRUE,13,13
2020-02-24,2.057616061774049,2.2358900907270973,1.8793420328210004,1,2.306451612903226,2765,195,FALSE,TRUE,13,13
2020-02-25,2.082501938110015,2.2547011605129033,1.9103027157071268,1,2.241935483870968,3343,681,TRUE,TRUE,13,13
2020-02-26,2.1257390655572457,2.304233551581087,1.9472445795334044,1,2.1774193548387095,3943,868,TRUE,TRUE,13,13
2020-02-27,2.1439962025551282,2.3345485456626758,1.953443859447581,1,2.1129032258064515,4541,1583,TRUE,TRUE,13,13
2020-02-28,2.1089365931019066,2.300592316347574,1.9172808698562394,1,2.0483870967741935,5476,1480,TRUE,TRUE,13,13
2020-02-29,2.0344490162891122,2.218656222071487,1.850241810506737,1,1.9838709677419355,6050,1950,TRUE,TRUE,13,13
2020-03-01,1.952995358601405,2.1277069189432876,1.7782837982595225,1,1.9193548387096775,6878,1115,TRUE,TRUE,13,13
2020-03-02,1.8805105864122993,2.041466413091384,1.7195547597332144,1,1.8548387096774195,7866,548,TRUE,TRUE,13,13
2020-03-03,1.8136376585006662,1.9615690627178677,1.6657062542834646,1,1.7903225806451613,8849,2693,TRUE,TRUE,13,13
2020-03-04,1.7424435029364607,1.884591914969989,1.6002950909029323,1,1.7258064516129032,9683,2931,TRUE,TRUE,13,13
2020-03-05,1.6620033143848163,1.7993926613093865,1.5246139674602461,1,1.6612903225806452,10585,4151,TRUE,TRUE,13,13
2020-03-06,1.5721863079597789,1.7047249986589428,1.439647617260615,1,1.596774193548387,11464,3667,TRUE,TRUE,13,13
2020-03-07,1.4766272693457514,1.6070788708879002,1.3461756678036025,1,1.532258064516129,12645,5268,TRUE,TRUE,13,13
2020-03-08,1.3819133797626895,1.5076916226440595,1.2561351368813194,1,1.467741935483871,13252,2814,TRUE,TRUE,13,13
2020-03-09,1.29495585360291,1.411483386531536,1.178428320674284,1,1.403225806451613,14033,2229,TRUE,TRUE,13,13
2020-03-10,1.221669788885006,1.3302837837681576,1.1130557940018546,1,1.338709677419355,14426,9345,FALSE,TRUE,13,13
2020-03-11,1.162268550855147,1.2666476275208405,1.0578894741894533,1,1.2741935483870968,15065,8022,FALSE,TRUE,13,13
2020-03-12,1.1115141348628892,1.2133595536090656,1.0096687161167128,1,1.2096774193548387,15301,15578,TRUE,TRUE,13,13
2020-03-13,1.0643433218030822,1.164942707821057,0.9637439357851075,1,1.1451612903225807,15071,10999,TRUE,TRUE,13,13
2020-03-14,1.020319720590772,1.1193725499246432,0.9212668912569006,1,1.0806451612903225,14973,10943,TRUE,TRUE,13,13
2020-03-15,0.9810590386747421,1.0767509126692658,0.8853671646802184,1,1.0161290322580645,14587,4856,TRUE,FALSE,13,13
2020-03-16,0.9486198279842395,1.0412887521728387,0.8559509037956403,1,0.9516129032258065,13921,6104,TRUE,FALSE,13,13
2020-03-17,0.9240695601729554,1.0162700069867436,0.8318691133591671,1,0.8870967741935485,13222,17613,TRUE,FALSE,13,13
2020-03-18,0.9081128332981045,1.0004502919754061,0.815775374620803,1,0.8225806451612905,12052,14642,TRUE,FALSE,13,13
2020-03-19,0.8972023059420614,0.9881723992111165,0.8062322126730063,1,0.7580645161290323,10900,16195,FALSE,FALSE,13,13
2020-03-20,0.8846691376759517,0.9726916535040392,0.7966466218478642,1,0.6935483870967742,9706,17006,FALSE,FALSE,13,13
2020-03-21,0.86559142273172,0.9497001306207997,0.7814827148426402,1,0.6290322580645162,8251,11507,FALSE,FALSE,13,13
2020-03-22,0.8384406521013538,0.9199260292404499,0.7569552749622577,1,0.564516129032258,7075,11563,FALSE,FALSE,13,13
2020-03-23,0.8042010816776954,0.8861949674638607,0.7222071958915302,1,0.5,5724,5347,FALSE,FALSE,13,13
2020-03-24,0.764473633005492,0.8475615706506183,0.6813856953603656,1,0.5,4976,12297,FALSE,FALSE,13,13
