date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate
2020-02-03,2.9469583689379646,3.510494079815362,2.4321142720015407,46.02621306942969,2.8897810133647774,1
2020-02-04,2.8294525269600888,3.3088965387755347,2.3870602913129297,59.73005329802834,3.663737543701301,1
2020-02-05,2.790650836164609,3.2079171824394184,2.4020869522450843,77.75136232769934,4.812008102336145,1
2020-02-06,2.778350339389251,3.1453125442869867,2.43385763148274,98.51152945850619,6.527111480019048,1
2020-02-07,2.741667771691614,3.063820499108281,2.437178314118772,122.64000017254025,7.882830576746488,1
2020-02-08,2.67195755418218,2.9533556430953944,2.4044641392346247,151.89172116580679,8.984514431892057,1
2020-02-09,2.591666851818795,2.8373488181955553,2.3569646403538034,186.37633355924018,10.899609716797714,1
2020-02-10,2.566193241783087,2.783610745511352,2.3575000292266757,234.04475952473302,13.206719148248279,1
2020-02-11,2.6203789679677083,2.8194007556334397,2.421357180301977,298.31235967184625,17.087565511635557,1
2020-02-12,2.7089556089000077,2.937113395896023,2.4807978219039923,372.4854327780167,23.30540173759417,1
2020-02-13,2.7519508546173554,2.9944989173659255,2.5094027918687853,454.0183536929365,28.840321245767502,1
2020-02-14,2.7124264880087665,2.9332757890671104,2.4915771869504226,546.5311893350538,34.09296241332306,1
2020-02-15,2.614763087097513,2.805790923644301,2.4237352505507253,652.5787765849396,41.72944282109254,1
2020-02-16,2.5002068883943735,2.665993177973784,2.334420598814963,786.7480825314594,48.82095572320237,1
2020-02-17,2.3940790352413592,2.538324633653109,2.2498334368296096,955.5605342414626,56.736212691721065,1
2020-02-18,2.3056524208826534,2.455080845252946,2.156223996512361,1149.4726585624965,69.98760999174603,1
2020-02-19,2.2411910438934117,2.4082364564681407,2.074145631318683,1373.2568389271519,83.328228641657,1
2020-02-20,2.196450261882455,2.367995152604299,2.0249053711606106,1631.9048673776495,98.19976008609585,1
2020-02-21,2.155753809929599,2.3303073821083,1.9812002377508986,1916.2023836759802,120.29855864236768,1
2020-02-22,2.110074751031645,2.28314478860822,1.9370047134550696,2234.0044615206025,137.94149477473218,1
2020-02-23,2.0639439286812418,2.225025627998008,1.9028622293644757,2600.880542426225,155.5807697384932,1
2020-02-24,2.0251154898614394,2.1869447024866693,1.8632862772362093,3019.1878178792135,190.15832333362366,1
2020-02-25,2.0066474782849926,2.181095794580164,1.8321991619898212,3520.9359135700483,227.78109123749792,1
2020-02-26,2.0115459349879976,2.190880777499608,1.832211092476387,4112.286966694953,271.84445794635667,1
2020-02-27,2.0273472676591977,2.2117229308083046,1.8429716045100908,4756.826935998907,339.5550077065527,1
2020-02-28,2.0162844827469444,2.201040206787723,1.831528758706166,5370.648058917989,392.5346972917567,1
2020-02-29,1.95637252427927,2.121989692235368,1.7907553563231724,5948.166359663797,414.41923723856127,1
2020-03-01,1.8648468816771708,2.0030867429562718,1.72660702039807,6570.4534771446,446.2502885675779,1
2020-03-02,1.7750203467007668,1.8949119893991935,1.6551287040023401,7266.266161452279,486.1474516355247,1
2020-03-03,1.7034133020609914,1.8135507635014185,1.5932758406205643,7999.997752089443,514.2844909973263,1
2020-03-04,1.6468142360112494,1.7553519392587358,1.538276532763763,8756.174772080445,546.9187406180757,1
2020-03-05,1.5941607303972871,1.7062630204032798,1.4820584403912944,9459.443115514563,586.7696654666797,1
2020-03-06,1.5374097749195068,1.647737848113979,1.4270817017250346,10061.28584056903,617.4806320553489,1
2020-03-07,1.4725951709152456,1.576204650583194,1.3689856912472973,10586.485216400137,641.1231706879734,1
2020-03-08,1.4006594905836176,1.4986053692687116,1.3027136118985236,11022.506331408207,646.5288351147856,1
2020-03-09,1.3273167036292919,1.4216228659803345,1.2330105412782493,11376.37495570084,637.5292765187814,1
2020-03-10,1.2598509107761484,1.3538598249818026,1.1658419965704943,11702.214380995238,650.3000879433176,1
2020-03-11,1.2046892488470908,1.301464847838907,1.1079136498552746,12017.852089556542,679.1226003500583,1
2020-03-12,1.1620164058965023,1.2593718326252945,1.0646609791677102,12262.338652535062,699.500107525747,1
2020-03-13,1.1258306937890883,1.2209790033109784,1.0306823842671982,12371.631994975765,730.8994170136272,1
2020-03-14,1.0900002745476263,1.1827341086875827,0.9972664404076698,12311.763747484847,765.8232509150974,1
2020-03-15,1.0534402193572165,1.1424966190757684,0.9643838196386647,12121.693160125991,766.7193811223012,1
2020-03-16,1.0178868845940012,1.100821800918775,0.9349519682692274,11846.769587130402,753.8383568236981,1
2020-03-17,0.9862371643526344,1.0634088366261385,0.9090654920791303,11555.585335324036,755.4753657720319,1
2020-03-18,0.9606825035740585,1.0345437794757588,0.886821227672358,11257.457017790064,751.249465052832,1
2020-03-19,0.9429294937110281,1.014287833205316,0.8715711542167401,10908.820448145512,710.2038132572414,1
2020-03-20,0.9300007006185336,0.9994191387595577,0.8605822624775095,10488.263757577584,665.7576924703355,1
2020-03-21,0.9155455854831,0.9848340196217015,0.8462571513444986,9987.584236541226,631.7150083702053,1
2020-03-22,0.895134380768375,0.9656890750064546,0.8245796865302955,9383.03143755508,592.4223432608107,1
2020-03-23,0.8680241532560937,0.9408872163762463,0.7951610901359412,8707.10049418223,567.5656383485767,1
2020-03-24,0.8360930205618912,0.9125485864151038,0.7596374547086785,8031.096610609264,549.585815015772,1
2020-03-25,0.8016085334837926,0.8798785351063912,0.7233385318611939,7389.484445290078,511.919059117648,1
2020-03-26,0.7690903445670141,0.8452225061939308,0.6929581829400974,6820.758859869166,477.4881800174959,1
