date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-02-07,1.909687336258222,2.275671867623365,1.5753890642750112,41.27720557722805,3.5473790785774093,1,1.5,34,4,FALSE,TRUE,FALSE,1.5,100,1.5_100
2020-02-08,1.7614194639310277,2.082751552907774,1.4666737621686254,46.2633781339544,3.8440842062509817,1,1.5,40,12,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-09,1.6684010841298789,1.9582646888903696,1.4014630261673533,51.7501079023164,4.021488064453746,1,1.5,55,17,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-10,1.6152005449367681,1.8821730796204155,1.3683895341770265,57.503939783278106,4.265011228415296,1,1.5,60,4,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-11,1.5879977182261136,1.8374760713437508,1.3564905243166538,63.518284921382154,4.646766135983513,1,1.5,60,34,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-12,1.5753257900352282,1.8105006081830524,1.3563040084950628,69.94675190789575,5.002892950928084,1,1.5,69,33,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-13,1.5702304384385748,1.7929721331990853,1.362073551968576,76.8196922704929,5.357495099936774,1,1.5,70,32,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-14,1.5677195390904775,1.7791017596978644,1.3695343377086517,84.12797951991647,5.845480426444662,1,1.5,76,30,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-15,1.5647150049956482,1.7653906405097337,1.3759910948206802,92.31022426562751,6.428280513314883,1,1.5,95,36,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-16,1.5602893391827264,1.750766408384627,1.3806403775877678,101.5747368659404,7.0135374744249495,1,1.5,99,15,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-17,1.5542820776164519,1.7350352798559638,1.3833427409580594,111.56480065551912,7.83616849321515,1,1.5,97,27,TRUE,TRUE,FALSE,1.5,100,1.5_100
2020-02-18,1.5472396381933178,1.7187699534140715,1.3768003928570085,122.19144249289049,8.83791506675346,1,1.5,103,46,TRUE,TRUE,FALSE,1.5,100,1.5_100
