date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-03-21,0.7405889679577643,0.9060741597496486,0.5915872053411365,27.80728647887269,3.3232782722510996,2,0.8,17,57,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-22,0.7487725322966038,0.920561354892753,0.5945092205924858,26.499533295006014,3.212347763751966,2,0.8,26,14,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-23,0.7510817744994123,0.9287217102218778,0.592069369351561,25.208432774004674,3.1105886662196838,2,0.8,22,11,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-24,0.7454924102510185,0.9281227302195865,0.5826297260645246,24.092523024412007,3.0207752029992445,2,0.8,23,40,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-25,0.7389074230952614,0.9264297285650432,0.5723362852072413,23.160866914829143,2.9045596575461654,2,0.8,22,57,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-26,0.7416311045550912,0.9353575233064211,0.5701159047054036,22.424149533460184,2.7472675356749288,2,0.8,17,36,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-27,0.7565122071815924,0.9583228054945656,0.5782782208416413,21.802277156392865,2.6317244383706417,2,0.8,18,72,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-28,0.780604883240607,0.992018960290511,0.5942250458500992,21.193291349475707,2.5523397776076258,2,0.8,16,46,TRUE,FALSE,TRUE,0.8,1000,0.8_1000
2020-03-29,0.8084638558135072,1.0300709228561866,0.6133804327143686,20.577396987928804,2.412014632929707,2,0.8,16,12,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-03-30,0.8373245445160771,1.0690174568199007,0.6335960697197244,19.973777183464318,2.250117734723737,2,0.8,13,12,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-03-31,0.8675075163321192,1.1089416192211845,0.6553634541915485,19.44807652202651,2.127510914257873,2,0.8,12,42,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-01,0.8973699433082116,1.1478178199523672,0.6773815922857713,19.0510147586097,2.0320131741345424,2,0.8,17,17,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-02,0.9230901846438645,1.1812165064231375,0.6964113771391507,18.722502239607387,1.9663031105863797,2,0.8,19,18,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-03,0.9415647939337883,1.205569770525859,0.7098008205720148,18.35080250198411,1.9160379309192728,2,0.8,6,17,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-04,0.9519539229228592,1.2199674590391851,0.7167901660755647,17.911656794397373,1.8606174202300367,2,0.8,19,39,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-05,0.9541944434867616,1.2244924390641287,0.7172071202781407,17.422808362388302,1.811958550151209,2,0.8,13,17,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-06,0.9480040845209589,1.2190455550106967,0.7106401390636369,16.93273107240099,1.7662498987555029,2,0.8,18,12,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-07,0.934138310543974,1.2047160380697304,0.6975704373921526,16.464164790883935,1.7139820304969842,2,0.8,14,14,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-08,0.9160638128956645,1.1856704661371427,0.6808260767537704,16.04062439346066,1.6632001174374351,2,0.8,16,29,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-09,0.8987901541186103,1.1678332637228264,0.6645609402175333,15.614288584540668,1.634759150915515,2,0.8,14,16,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-10,0.8841453052819219,1.1534659401246095,0.6502147052526909,15.11763685072355,1.5978624971565736,2,0.8,12,27,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-11,0.8697185597293884,1.1398785054003537,0.6356748909957932,14.547179438389616,1.5169457560706263,2,0.8,16,30,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-12,0.8525672774971921,1.1236583963952338,0.618467154716519,13.941915458219698,1.4234756464181864,2,0.8,9,9,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-13,0.8333673118202976,1.1055307090299769,0.5992196333364043,13.347614894792654,1.3416709356910839,2,0.8,12,4,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-14,0.8149751863266523,1.0888216191994293,0.5803414249283977,12.770608304117507,1.2524466071895235,2,0.8,13,31,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-15,0.7989061248810659,1.0753847656482314,0.5630444237179733,12.217984885531807,1.141711860624026,2,0.8,12,14,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-16,0.783344981509901,1.0631830202378207,0.545763166214313,11.694139362136646,1.044091441975788,2,0.8,9,10,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-17,0.76755664968386,1.0513541011019267,0.5279040455622855,11.174724435725143,0.9711609820103382,2,0.8,11,28,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-18,0.7535784864952891,1.0422835338677277,0.5111725308800649,10.62463081749116,0.8978075415787209,2,0.8,9,32,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-19,0.7464375416131208,1.041973470845249,0.4996483167303928,10.086537337569686,0.8354873860060995,2,0.8,6,9,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-20,0.7497168489291645,1.0548010439297615,0.4961427602180549,9.6070698650493,0.7805395110419389,2,0.8,5,7,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-21,0.7627468802635236,1.0800002300181528,0.5000623645988366,9.156482768261462,0.7336230879762308,2,0.8,9,19,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-22,0.7800922353685522,1.1108841774927665,0.5071350165200738,8.70503850681592,0.7057356527419296,2,0.8,9,14,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-23,0.7948559170172314,1.138801104443584,0.5120815141233774,8.215232656764702,0.6953517720625899,2,0.8,6,15,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-24,0.8026018855598953,1.1580233532586854,0.5116344188563565,7.695689248521645,0.6931276763818153,2,0.8,8,13,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-25,0.8032832823206607,1.1682979653991128,0.5059092843051319,7.18824983691045,0.7096366831129813,2,0.8,5,8,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-26,0.7995020290186575,1.1728584316863198,0.49692914284538875,6.688428248802644,0.7416245698584797,2,0.8,7,13,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-27,0.7928107073532124,1.1738512695204506,0.4857611339039033,6.177291354742192,0.78100165507405,2,0.8,8,3,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-28,0.7837724264183664,1.172217780923543,0.47269968808490587,5.673721998297998,0.8340444628737,2,0.8,9,14,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-29,0.7730540879498264,1.168954508397502,0.4581714725645256,5.179434497225112,0.8956635846992453,2,0.8,2,14,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-04-30,0.7617191828852695,1.165510029098555,0.4429328716501565,4.688032910362601,0.9602725088205105,2,0.8,8,9,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-05-01,0.7497853056751285,1.1620302775244653,0.42694791678327865,4.202756666241749,1.02935148738734,2,0.8,10,7,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-06,1.4647267262700703,1.706114151686518,1.2233393008536226,146.01024423910926,19.18397148308558,3,0.8,153,53,FALSE,TRUE,FALSE,0.8,1000,0.8_1000
2020-02-07,1.3314383144244792,1.564963090387222,1.0979135384617364,151.34146360547334,20.488913757300896,3,0.8,156,136,FALSE,TRUE,FALSE,0.8,1000,0.8_1000
2020-02-08,1.2354761923996576,1.4606310602430763,1.0103213245562388,154.5597606494874,21.74399532770821,3,0.8,163,82,FALSE,TRUE,FALSE,0.8,1000,0.8_1000
2020-02-09,1.1635054172902206,1.3710058817300872,0.956004952850354,156.12892823203967,22.259953811549664,3,0.8,132,98,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-10,1.108580373613668,1.2931445820394056,0.9240161651879302,156.18214810008845,22.691856420929458,3,0.8,144,45,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-11,1.06522284083582,1.2322467171590523,0.8981989645125876,155.05447076381324,23.50909584797914,3,0.8,123,139,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-12,1.0282800678964443,1.1854466843817721,0.8711134514111164,152.81562513815106,24.05403712964005,3,0.8,116,144,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-13,0.9941807213324808,1.143442850818669,0.8449185918462927,149.24825440468598,23.926040071780896,3,0.8,141,134,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-14,0.961351656305566,1.1016128233068931,0.8210904893042388,144.14410484505922,22.8944668160284,3,0.8,118,177,FALSE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-15,0.9301860378159033,1.0628673111733864,0.7975047644584201,138.45211735527687,21.69206449431429,3,0.8,90,117,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
2020-02-16,0.9009247593029309,1.0278512838229017,0.77399823478296,132.88866865884964,20.486184270795977,3,0.8,94,110,TRUE,FALSE,FALSE,0.8,1000,0.8_1000
