date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-02-06,1.5800746082748427,1.9969633430532463,1.163185873496439,1753.5097805013033,433.5575578174445,1,0.8,1686,804,FALSE,TRUE,FALSE,0.8,10000,0.8_10000
2020-02-07,1.395841247282301,1.8450709546628326,0.9466115399017694,1837.3345207169198,507.28768542798844,1,0.8,1615,798,FALSE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-08,1.2540113034588902,1.716823577396184,0.7911990295215965,1883.2528410971133,575.6624724579585,1,0.8,1505,871,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-09,1.143889422781604,1.5717380199319126,0.7160408256312956,1890.1321343224513,604.944112138456,1,0.8,1472,610,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-10,1.0587352411107331,1.4133726328055514,0.7040978494159149,1861.4555379522924,607.076697195795,1,0.8,1406,560,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-11,0.9921567683728463,1.269186583366585,0.7151269533791076,1811.4476708639152,598.0769967493036,1,0.8,1313,2124,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-12,0.9386535370082463,1.1546184869794178,0.7226885870370747,1746.3650703989117,566.0791278901592,1,0.8,1239,1788,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-13,0.8950791122060134,1.0658615771508153,0.7242966472612115,1662.1567214649947,503.09220510640944,1,0.8,1251,1486,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-14,0.858881884438167,0.9976273161238038,0.7201364527525302,1555.4594346429183,406.5728880467595,1,0.8,1143,1666,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-15,0.8287974702834353,0.9561056294503361,0.7014893111165346,1443.6946600686601,311.4866101043639,1,0.8,1034,1767,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-16,0.8052276646221515,0.9398584307690109,0.670596898475292,1341.1242201773443,237.79310052481193,1,0.8,1052,1174,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-17,0.7883254554710136,0.9379364884309043,0.638714422511123,1241.2901331059084,175.01686673578837,1,0.8,1045,802,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-18,0.7772408828613868,0.9446203244861542,0.6098614412366195,1147.665702144598,138.22310466520767,1,0.8,940,1900,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-19,0.7706506036834646,0.9580376463554883,0.583263561011441,1066.2077304289976,132.78714649927912,1,0.8,891,2176,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-20,0.7677412412023678,0.9733163864772865,0.562166095927449,995.2199036212376,137.11064076931132,1,0.8,891,1957,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-21,0.7668587460303328,0.9834057585682241,0.5503117334924414,932.6918540661289,136.16517427489546,1,0.8,873,1318,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-22,0.765936999146203,0.9852763515084066,0.5465976467839992,878.929673260398,131.4834443436472,1,0.8,771,1324,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-23,0.7649131898887925,0.9800897697739325,0.5497366100036526,833.9878888807184,126.49578671615814,1,0.8,759,873,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-24,0.7658138108244149,0.9723533942968723,0.5592742273519575,795.5896634344092,119.04145142429817,1,0.8,729,589,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-25,0.7712089982745849,0.9681810013945376,0.5742369951546322,762.9997533249917,113.27617313511226,1,0.8,674,1879,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-26,0.7814789649510602,0.9741244049015259,0.5888335250005945,736.0888020652816,115.5489037220829,1,0.8,718,2064,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-27,0.7947561678417352,1.0006211617070946,0.5888911739763758,713.6334500146972,127.99757489648881,1,0.8,614,1006,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-28,0.8073585035993678,1.0514710078555294,0.5632459993432061,694.223684139753,150.61608808113985,1,0.8,577,1008,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-29,0.8153179397663779,1.1028588099417478,0.5277770695910081,675.7999553990115,172.21077084736842,1,0.8,576,1000,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-01,0.8165671035371249,1.1224378379512077,0.5106963691230422,657.3170178036513,183.10474961472667,1,0.8,566,514,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-02,0.8126045710606389,1.1019204990092764,0.5232886431120014,639.4018184419209,188.06060454978498,1,0.8,514,336,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-03,0.8085069073962663,1.0615092229575196,0.555504591835013,621.7138477321772,191.33303795198418,1,0.8,480,1360,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-04,0.8083425420135136,1.0271286998543718,0.5895563841726554,603.450938321611,187.92421253845353,1,0.8,450,1392,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-05,0.812453755966032,1.0139230563760269,0.6109844555560371,585.307642246905,174.07481246418268,1,0.8,491,774,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-06,0.8189421850657097,1.0222219924690654,0.615662377662354,567.9811597011764,159.22593612628916,1,0.8,437,759,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-07,0.8264391384833956,1.038175470138767,0.6147028068280239,550.2790679153322,147.16618469974833,1,0.8,433,906,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-08,0.8334438297419041,1.0502078952442575,0.6166797642395507,530.6690803280618,137.29373814113234,1,0.8,387,329,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-09,0.8380354642368661,1.0586659855589868,0.6174049429147453,510.2132946949155,134.6055908465011,1,0.8,410,282,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-10,0.8397417221341584,1.0675072150911613,0.6119762291771554,490.62868570072555,134.6160372538008,1,0.8,397,951,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-11,0.8413676999058622,1.0772110593838868,0.6055243404278376,471.7845777832962,131.7570150035277,1,0.8,345,732,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-12,0.8475305158788224,1.0898260062737957,0.6052350254838493,453.60350121503706,123.60500537531756,1,0.8,347,958,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-13,0.8594566640290177,1.107258095384788,0.6116552326732474,436.0134692529367,115.65232336195479,1,0.8,339,541,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-14,0.8739455231555264,1.1214799761991392,0.6264110701119137,417.74030466245506,108.29605255331781,1,0.8,321,556,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-15,0.8852485470665923,1.1228257828114963,0.6476713113216884,397.2296698158317,97.85100492451814,1,0.8,329,567,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-16,0.8884260766837226,1.1092795602579173,0.667572593109528,375.79329421640705,88.57206036523141,1,0.8,292,290,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-17,0.8820609801141562,1.0846178102086381,0.6795041500196742,355.42270167392854,82.2029774104929,1,0.8,280,454,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-18,0.8666691338390643,1.0518669633805944,0.6814713042975342,335.8476491891843,75.32462682235222,1,0.8,278,355,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-19,0.8446768296070858,1.015312122776119,0.6740415364380525,316.82234350501227,65.24249726662609,1,0.8,242,316,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-03-20,0.8211078371030501,0.9876506602888895,0.6545650139172108,298.74851132747824,54.92567184282242,1,0.8,258,810,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-21,0.8001399086889994,0.9748692438947938,0.6254105734832051,281.30220563213754,46.02974780646526,1,0.8,236,589,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-22,0.7814984095578675,0.9671031144793099,0.5958937046364252,263.30087799686487,35.94636038465541,1,0.8,183,364,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-23,0.7618329174142408,0.9526756900246293,0.5709901448038522,245.73070339905115,27.05240970325675,1,0.8,196,127,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-24,0.7403434926559207,0.9306363597020825,0.5500506256097589,230.19086538342842,23.045663201887706,1,0.8,209,485,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-25,0.7204763960443274,0.9076374119013746,0.5333153801872803,216.4880327037096,22.92077613564659,1,0.8,190,458,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-26,0.7062101107543297,0.8896368525900912,0.5227833689185682,204.42212577921345,24.318707421051723,1,0.8,170,433,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-27,0.6982607446627558,0.8786240356872842,0.5178974536382274,193.99029889305143,25.678165312764186,1,0.8,182,302,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-28,0.6968861310549026,0.8738739398795459,0.5198983222302593,184.85085909166744,26.368606331557615,1,0.8,166,674,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-29,0.7027215350188669,0.8739294788664933,0.5315135911712405,176.3193482334209,26.7884861387562,1,0.8,160,236,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-30,0.7175273610317385,0.8804296060734408,0.5546251159900363,168.24430709715563,27.14289328050126,1,0.8,149,97,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-31,0.7426458330108241,0.8987847535818065,0.5865069124398417,161.4531270647805,27.06526710871217,1,0.8,144,394,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-01,0.7770428067238819,0.9378559744103803,0.6162296390373836,156.75356400343944,27.038719281425045,1,0.8,134,405,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-02,0.8153993811111331,1.0012964668632356,0.6295022953590306,153.32141009897111,28.194128546945066,1,0.8,152,218,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-03,0.8510309195435654,1.073085035365862,0.6289768037212685,149.80913677696827,30.161440839464433,1,0.8,134,145,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-04,0.8798046234594981,1.1326176081888326,0.6269916387301635,146.3370492334981,32.83268564429303,1,0.8,110,247,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-05,0.9008931126041837,1.1704622262322508,0.6313239989761166,142.92603733107345,36.22977951017811,1,0.8,122,141,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-06,0.9144425854890819,1.1831758790546503,0.6457092919235135,139.44680918324553,38.35295173068303,1,0.8,115,69,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-07,0.9207212589328589,1.1703352674146574,0.6711072504510605,135.91571279231127,38.29615815829512,1,0.8,114,311,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-08,0.9220297372214467,1.1404535992105067,0.7036058752323866,132.43189135033683,36.11100029572366,1,0.8,103,273,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-09,0.9222770543865817,1.1118265660210866,0.7327275427520766,128.88158297091456,33.56204513909323,1,0.8,115,207,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-10,0.9211839214146538,1.091118810452382,0.7512490323769258,124.72109308326868,30.613390155048297,1,0.8,113,139,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-11,0.9129045100338278,1.0710713332219222,0.7547376868457334,119.55937113481004,25.77630296390028,1,0.8,78,133,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-12,0.8923200959818196,1.0462083286938895,0.7384318632697497,113.8216036255101,20.673553077122307,1,0.8,106,76,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-13,0.8622852248719267,1.0212086616559188,0.7033617880879346,108.24590968954026,17.38435735783109,1,0.8,97,44,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-14,0.8309993250023623,1.0002781708419368,0.6617204791627879,102.9673236261154,15.553436296127245,1,0.8,107,155,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-15,0.8059979017612857,0.9839587160583557,0.6280370874642157,98.09742466849994,14.490824540473996,1,0.8,92,232,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-16,0.7885419592591052,0.9720988500805454,0.604985068437665,93.63800924788904,13.94323043362209,1,0.8,78,302,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-17,0.776474426307405,0.962685981877256,0.5902628707375541,89.28613477185216,13.617639339882048,1,0.8,86,185,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-18,0.7656619808645514,0.9503191042040273,0.5810048575250755,84.6996238563679,12.985147110956822,1,0.8,79,93,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-19,0.7541331182636707,0.9306347164700394,0.577631520057302,80.2966628773808,11.95353731323529,1,0.8,78,50,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-20,0.7437628539424692,0.9056800041820914,0.581845703702847,76.54761104281036,10.847133328468718,1,0.8,70,61,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-21,0.7370608258172091,0.8848470124736911,0.5892746391607271,73.14346470598295,10.113569464210391,1,0.8,78,188,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-22,0.7344204439328277,0.8851222164761756,0.5837186713894797,69.75436525291104,10.183137391960559,1,0.8,60,204,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-23,0.734210650637736,0.9138946911393853,0.5545266101360868,66.03034686192463,10.939543904219613,1,0.8,57,125,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-24,0.7350442802959058,0.956918369857713,0.5131701907340988,62.0328473362386,12.179805377450533,1,0.8,78,74,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-25,0.7352201703518376,0.9947973296618836,0.47564301104179163,58.084832216185724,14.042243440846757,1,0.8,55,115,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-26,0.7327231115679699,1.0158051214457238,0.4496411016902159,54.1558865609042,16.268028373964565,1,0.8,76,50,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-27,0.7261698446834991,1.0184336085317875,0.43390608083521065,50.06341254692526,18.404621334283565,1,0.8,44,29,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-28,0.7154717714347633,1.0089652909981792,0.4219782518713472,45.94321610829784,20.507426127635394,1,0.8,42,157,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-04-29,0.7013303554375169,0.995115636966762,0.40754507390827177,41.85395417992874,22.6005149637307,1,0.8,60,76,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-04-30,0.6841977245336249,0.9822417074348484,0.38615374163240146,37.818170598018845,24.641474358367226,1,0.8,37,102,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-05-01,0.6642239381330093,0.9719816321456569,0.35646624412036165,33.895810186066726,26.66519669030969,1,0.8,48,100,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-06,1.4579775350165987,1.780327799001302,1.1356272710318953,1668.5715324277032,407.48770884051277,2,0.8,1744,570,FALSE,TRUE,FALSE,0.8,10000,0.8_10000
2020-02-07,1.2885190333172234,1.5958466459639757,0.981191420670471,1708.6808440596647,393.04042095314423,2,0.8,1567,443,FALSE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-08,1.1559231111603911,1.459933852704662,0.8519123696161204,1716.4007127756659,385.5593067989248,2,0.8,1494,991,FALSE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-09,1.0496249814377994,1.340014402953354,0.7592355599222447,1701.8507153949145,378.78362375865527,2,0.8,1453,1548,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-10,0.9686619442221307,1.2345691652636637,0.7027547231805977,1660.3953148909093,370.9861953611491,2,0.8,1359,736,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-11,0.9121381331882369,1.1544063116746912,0.6698699547017826,1601.955855685371,369.016217192709,2,0.8,1275,2641,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-12,0.8750023635370411,1.0997523907969078,0.6502523362771743,1537.9552650828216,361.2009228369904,2,0.8,1293,1336,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-13,0.851993599598819,1.06189653232032,0.6420906668773181,1467.8814630846682,339.3908675251153,2,0.8,1166,1681,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-14,0.838853549313565,1.0364401029026382,0.6412669957244919,1391.105394080663,302.7895207630906,2,0.8,1103,2349,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-15,0.8332027572276828,1.0269997426287014,0.6394057718266642,1315.16218075454,269.8662811714281,2,0.8,1102,1426,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-16,0.8325069981785698,1.029444453430043,0.6355695429270964,1245.6416949779114,244.87138626119545,2,0.8,1024,1053,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-17,0.832982628699963,1.0338764596116627,0.6320887977882631,1179.0871961215616,219.06289855095588,2,0.8,1003,706,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-18,0.8307273424679915,1.0334882782076225,0.6279664067283606,1116.2498725979406,201.04704958067947,2,0.8,945,1605,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-19,0.824157336916075,1.0261806436971108,0.6221340301350391,1058.702880823621,191.82899353774573,2,0.8,895,1073,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-20,0.8142658108795021,1.0114013340951746,0.6171302876638295,1004.877201885983,182.89644501970932,2,0.8,861,1577,TRUE,FALSE,FALSE,0.8,10000,0.8_10000
2020-02-21,0.8030089024039935,0.9914335333311465,0.6145842714768405,953.3586877822381,169.4091628818636,2,0.8,811,1990,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-22,0.7927237108475986,0.9747982570884888,0.6106491646067085,905.1353057082384,157.25322983072206,2,0.8,774,1820,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-23,0.7854957301038734,0.966310440762695,0.6046810194450518,860.4293477671342,146.46851100189764,2,0.8,717,806,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-24,0.780977872922888,0.961532589149353,0.600423156696423,817.0171984478663,128.29488371985212,2,0.8,763,565,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-25,0.7769195804009716,0.9533559624004406,0.6004831984015027,775.8870719059353,107.10959144063358,2,0.8,710,1555,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-26,0.7723598868420682,0.9406134863058973,0.6041062873782392,738.4345574183135,90.98530023770547,2,0.8,663,887,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-27,0.7688491414470029,0.9281625296921131,0.6095357532018927,703.4458643456101,79.43120956209053,2,0.8,639,1549,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-28,0.768418524937793,0.9220501151652851,0.6147869347103008,669.7230472264673,71.77432064265948,2,0.8,627,1450,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-02-29,0.7709498678482914,0.9260086757255787,0.6158910599710042,637.8778085965216,69.6166435206254,2,0.8,549,1313,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-01,0.775785878971607,0.9383392391275301,0.6132325188156839,609.1456655155407,71.7535515392949,2,0.8,564,427,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-02,0.7826629310884977,0.9525578431980438,0.6127680189789516,583.2366861052362,72.55022553845653,2,0.8,525,380,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
2020-03-03,0.7921373883800312,0.9623649465502022,0.6219098302098602,559.2315090565419,71.67680658610941,2,0.8,510,1477,TRUE,FALSE,TRUE,0.8,10000,0.8_10000
