date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-02-06,1.8307099858104832,2.215337311914727,1.4460826597062395,1611.4796616909102,281.356208684219,1,1.5,1692,402,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-07,1.743271153748789,2.238547756653589,1.247994550843989,1874.5697733058057,327.1898838586707,1,1.5,1808,765,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-08,1.7162843190424213,2.40013423076196,1.0324344073228822,2153.36553420841,457.38763581422614,1,1.5,1936,401,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-09,1.7043014644783943,2.4433125787514083,0.9652903502053805,2421.6693016640957,568.1573584231063,1,1.5,2171,413,TRUE,FALSE,FALSE,1.5,5000,1.5_5000
2020-02-10,1.684335997036855,2.3001064103241333,1.0685655837495764,2662.545781277247,622.2175326033258,1,1.5,2373,371,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-11,1.6575298328635661,2.110285070267935,1.204774595459197,2904.7897139375536,643.3545614339668,1,1.5,2549,1126,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-12,1.6410279575031563,2.0021201090980005,1.2799358059083121,3190.8685036247216,636.8342468263005,1,1.5,2766,1133,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-13,1.64921093650342,2.003089597715432,1.2953322752914083,3542.2703795899415,649.043384802796,1,1.5,3130,1697,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-14,1.6761853065451315,2.137145641923762,1.215224971166501,3950.2454277902175,811.9495349885253,1,1.5,3324,1321,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-15,1.6983410404786132,2.3192167048609615,1.0774653760962647,4406.406601648907,1121.7951089222295,1,1.5,3532,908,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-16,1.6887265182402906,2.3593491185354916,1.0181039179450897,4861.523399944592,1346.1305260858205,1,1.5,3991,809,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-17,1.6362691048686662,2.2100285146337106,1.0625096951036217,5275.239296327754,1438.0382553184713,1,1.5,4435,920,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-18,1.5566114945950538,1.9854416338539211,1.1277813553361864,5697.361839399616,1460.5011827063463,1,1.5,4709,2758,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-19,1.4807804733120629,1.8102165490953652,1.1513443975287605,6206.435414507652,1425.286321093823,1,1.5,5137,1976,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-20,1.4339393897326362,1.7709349255298654,1.096943853935407,6839.849329896384,1444.495482376395,1,1.5,5718,4347,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-21,1.4213778180726244,1.904198437114815,0.9385571990304337,7581.90992751489,1799.450145730476,1,1.5,6300,2605,TRUE,FALSE,FALSE,1.5,5000,1.5_5000
2020-02-22,1.4354308926751849,2.0918661140438406,0.7789956713065289,8409.82298912424,2452.731206518779,1,1.5,6695,2101,TRUE,FALSE,FALSE,1.5,5000,1.5_5000
2020-02-23,1.4634778099798071,2.15885974487607,0.7680958750835446,9239.647305798659,2894.9000538649602,1,1.5,7398,2644,TRUE,FALSE,FALSE,1.5,5000,1.5_5000
2020-02-24,1.4908313510777762,2.0652053989501042,0.9164573032054483,10007.012868213133,3021.0066537207813,1,1.5,8097,2559,TRUE,FALSE,FALSE,1.5,5000,1.5_5000
2020-02-25,1.5043487081998845,1.910683360971147,1.098014055428622,10782.6763839153,2994.5748050006027,1,1.5,8761,4027,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-26,1.4984849034696752,1.7960041416226828,1.2009656653166676,11671.738464672144,2877.0621252015,1,1.5,9860,6657,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-27,1.4782825600647966,1.7434121824576758,1.2131529376719175,12704.984787401874,2702.104557880071,1,1.5,10464,6271,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-28,1.4534761060898511,1.724063874468508,1.1828883377111943,13829.672353456417,2468.92690849244,1,1.5,11409,7466,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-02-29,1.4384773685860348,1.7230370526635337,1.153917684508536,15081.97363438442,2270.804680349052,1,1.5,12593,6258,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-01,1.4429754980475036,1.7334530336943883,1.1524979624006189,16423.743391672793,2125.2054843536275,1,1.5,13827,3252,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-02,1.4655486240896465,1.7555608249981423,1.1755364231811507,17725.65026306755,1979.9221890775716,1,1.5,14956,2922,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-03,1.4957694081924278,1.7903897891456875,1.201149027239168,19085.956432191437,1888.0420521558765,1,1.5,16290,6942,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-04,1.5281242451868988,1.8299792510671824,1.2262692393066152,20740.854350111327,1886.0192751292896,1,1.5,17756,10731,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-05,1.5646606644720955,1.8754718946813917,1.2538494342627993,22798.68323860891,2125.8427611169705,1,1.5,19805,11574,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-06,1.6015869363848598,1.9386492649320037,1.264524607837716,25271.121466757184,2662.9812203792662,1,1.5,21388,12149,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-07,1.620942489364256,2.000554098205134,1.241330880523378,27988.088584734483,3378.8359891693294,1,1.5,23497,9715,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-08,1.6038327674000403,2.018258198555133,1.1894073362449475,30685.979100150154,4387.7808551593835,1,1.5,25464,7479,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-09,1.5523234085570827,1.9665426845875085,1.138104132526657,33424.3226457604,5432.717836030874,1,1.5,28181,9457,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-10,1.4915075355316023,1.856028992963242,1.1269860780999625,36449.91218910536,5966.865816829654,1,1.5,30833,12444,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-11,1.4507197620339705,1.7386685074271027,1.1627710166408383,39946.36366810643,6138.2643963369765,1,1.5,33347,20448,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-12,1.444273467739909,1.7002482073714025,1.1882987281084154,44008.68041149066,6712.509291442476,1,1.5,36639,22002,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-13,1.4684658216086162,1.7814574281511122,1.1554742150661201,48749.81484706514,8365.3851907375265,1,1.5,40118,18089,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-14,1.508157734754723,1.893121843083009,1.123193626426437,54060.225214309205,10670.747395500563,1,1.5,43801,17546,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-15,1.543426790430566,1.9584209818283123,1.12843259903282,59600.00964158738,13385.687744817034,1,1.5,48144,12579,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-16,1.55923078265042,1.9620139362008973,1.1564476290999426,65434.21431298182,15831.427178060681,1,1.5,52297,11122,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-17,1.5495753896567594,1.9076506661838675,1.1915001131296514,71669.31583494645,16595.282298073238,1,1.5,57179,44848,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-18,1.5186018479744487,1.812459954099649,1.2247437418492484,78315.16603601095,15648.091262998707,1,1.5,62656,25304,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-19,1.4769765513216309,1.7262142763847592,1.2277388262585025,85601.27069129988,14074.17307036222,1,1.5,68075,55990,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-20,1.4433314238851906,1.6962937166856191,1.1903691310847622,94032.3610898317,13169.51439889865,1,1.5,74870,36204,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-21,1.4338641761452093,1.7137112977782532,1.1540170545121655,103711.14751663643,13122.401563062855,1,1.5,81593,30658,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-22,1.4509518501936862,1.7651259011697067,1.1367777992176658,114112.73815691323,14282.798428822853,1,1.5,88332,21711,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-23,1.486812760935325,1.837490499777001,1.136135022093649,125245.77800023474,16979.214606721733,1,1.5,97018,26192,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-24,1.5344114879989816,1.8933965995042603,1.175426376493703,137146.59464089287,19122.593124250518,1,1.5,106493,64830,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
2020-03-25,1.5908878368917732,1.9165821263561065,1.2651935474274398,149606.05830792134,19689.936704904274,1,1.5,116088,60855,TRUE,TRUE,FALSE,1.5,5000,1.5_5000
