date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate,Re,infections,observations,in_CI,above_1,below_1,R1,init,exp_name
2020-02-06,2.0752127915137026,2.5631465119047316,1.5872790711226739,3620.6115408824444,608.5755907566362,1,1.5,3391,624,FALSE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-07,2.008660173257697,2.458765224512966,1.558555122002428,4230.00451963037,601.7835872735626,1,1.5,3614,596,FALSE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-08,1.9922784602240682,2.423422393338283,1.5611345271098538,4822.838302029814,600.7355782490912,1,1.5,3880,693,FALSE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-09,1.953560876135006,2.3479306061406473,1.5591911461293648,5351.355378777418,574.5829850258674,1,1.5,4317,595,FALSE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-10,1.8620069844613722,2.1930189188725313,1.5309950500502132,5816.93098619399,527.7033617711667,1,1.5,4721,876,FALSE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-11,1.7341354673796805,2.020854319927451,1.4474166148319096,6306.600926140631,520.2932308905239,1,1.5,5097,3138,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-12,1.606121223349096,1.8890913856894664,1.3231510610087256,6930.246543516153,597.9697037608689,1,1.5,5542,2617,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-13,1.5037282514747488,1.8069388443430678,1.2005176586064297,7725.870795157262,850.7792044199665,1,1.5,6209,1553,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-14,1.4345393967448687,1.788105378302686,1.0809734151870516,8629.05252692984,1344.982498293163,1,1.5,6648,4356,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-15,1.4009552142052077,1.816927434808922,0.9849829936014936,9551.400841733017,1887.0501904922878,1,1.5,7122,2373,TRUE,FALSE,FALSE,1.5,10000,1.5_10000
2020-02-16,1.4020901605237595,1.8273136611293843,0.9768666599181346,10385.274723742315,2197.12532150597,1,1.5,7969,2344,TRUE,FALSE,FALSE,1.5,10000,1.5_10000
2020-02-17,1.4305689834234485,1.7944225913967164,1.0667153754501806,11105.499967054237,2308.7301242476715,1,1.5,8813,1394,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-18,1.4685803318605493,1.7571078494396652,1.1800528142814333,11836.069092674315,2359.184325282405,1,1.5,9436,6313,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-19,1.498080100275903,1.7479155195343574,1.2482446810174486,12729.501931098383,2361.9979944604506,1,1.5,10298,6152,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-20,1.5095100705135711,1.7447514053204194,1.2742687357067228,13832.671265930961,2314.685589642295,1,1.5,11402,7528,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-21,1.5005843673474035,1.7297139378453203,1.2714547968494867,15074.793950584815,2223.950433418511,1,1.5,12532,8931,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-22,1.4757293836235499,1.7118948957280467,1.2395638715190531,16461.019630619005,2174.4673775434107,1,1.5,13427,5022,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-23,1.4402526332895582,1.6882486233188212,1.1922566432602952,17933.0692513369,2166.382883611721,1,1.5,14788,5302,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-24,1.4016652378308543,1.660845568273221,1.1424849073884875,19376.531587023586,2248.3651549568613,1,1.5,16178,3411,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-25,1.3731339305271013,1.6491209942473826,1.09714686680682,20870.13126169819,2483.099548095601,1,1.5,17556,14118,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-26,1.373641919589743,1.66306630156613,1.0842175376133558,22596.796935676193,2714.1090325616096,1,1.5,19589,10301,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-27,1.4151165075137186,1.6997235511615507,1.1305094638658866,24603.43684927637,2883.848680156438,1,1.5,20966,8494,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
2020-02-28,1.4859887358013915,1.7570946428572454,1.2148828287455375,26781.943883148342,3120.3536430319073,1,1.5,22876,11902,TRUE,TRUE,FALSE,1.5,10000,1.5_10000
