date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,smooth_day,exp_name
2020-02-08,2.286224482069024,3.027570361122647,1.5448786030154007,1,2.5,94,7,TRUE,TRUE,14,14
2020-02-09,2.154926516139336,2.894451655143271,1.4154013771354008,1,2.5,135,9,TRUE,TRUE,14,14
2020-02-10,2.1282450500481684,2.8462436046955473,1.4102464954007896,1,2.5,165,10,TRUE,TRUE,14,14
2020-02-11,2.1677336947325183,2.825773861290861,1.5096935281741755,1,2.5,194,69,TRUE,TRUE,14,14
2020-02-12,2.2654063922363643,2.8340063628926186,1.6968064215801102,1,2.5,248,35,TRUE,TRUE,14,14
2020-02-13,2.4327748359345582,2.9505330173183193,1.9150166545507974,1,2.5,295,68,TRUE,TRUE,14,14
2020-02-14,2.6385318566388714,3.187705244366557,2.0893584689111857,1,2.5,358,33,TRUE,TRUE,14,14
2020-02-15,2.8093354203717253,3.4148013572081863,2.2038694835352644,1,2.5,485,60,TRUE,TRUE,14,14
2020-02-16,2.926041729607076,3.5430185100213927,2.3090649491927597,1,2.5,557,55,TRUE,TRUE,14,14
2020-02-17,2.9837510869228354,3.5849387798951815,2.3825633939504893,1,2.5,647,73,TRUE,TRUE,14,14
2020-02-18,3.031888735700784,3.6019003317773226,2.461877139624246,1,2.5,866,168,TRUE,TRUE,14,14
2020-02-19,3.0002861394381335,3.5187936228853873,2.4817786559908797,1,2.5,1103,168,TRUE,TRUE,14,14
2020-02-20,2.8624572540642435,3.3122928347046505,2.4126216734238364,1,2.5,1288,225,TRUE,TRUE,14,14
2020-02-21,2.5852069574581713,2.990111224921998,2.1803026899943445,1,2.5,1594,270,TRUE,TRUE,14,14
2020-02-22,2.2755380534440315,2.6881165737826502,1.8629595331054127,1,2.435483870967742,1984,416,TRUE,TRUE,14,14
2020-02-23,1.9842966610978252,2.437065550626137,1.5315277715695133,1,2.370967741935484,2414,340,TRUE,TRUE,14,14
2020-02-24,1.8004194462842988,2.286213557401146,1.3146253351674517,1,2.306451612903226,2765,195,FALSE,TRUE,14,14
2020-02-25,1.7084351820986723,2.183901738890493,1.2329686253068517,1,2.241935483870968,3343,681,FALSE,TRUE,14,14
2020-02-26,1.7316420045889547,2.1761650237183363,1.287118985459573,1,2.1774193548387095,3943,868,FALSE,TRUE,14,14
2020-02-27,1.8103667991829406,2.2342527615643286,1.3864808368015527,1,2.1129032258064515,4541,1583,TRUE,TRUE,14,14
2020-02-28,1.9429898156084906,2.3596898641440243,1.526289767072957,1,2.0483870967741935,5476,1480,TRUE,TRUE,14,14
2020-02-29,2.0570133832889304,2.4697855603986967,1.644241206179164,1,1.9838709677419355,6050,1950,TRUE,TRUE,14,14
2020-03-01,2.153637070000727,2.5716184339053747,1.7356557060960789,1,1.9193548387096775,6878,1115,TRUE,TRUE,14,14
2020-03-02,2.1852128572932745,2.609648415110353,1.7607772994761959,1,1.8548387096774195,7866,548,TRUE,TRUE,14,14
2020-03-03,2.1798752100099086,2.6043756316943503,1.755374788325467,1,1.7903225806451613,8849,2693,TRUE,TRUE,14,14
2020-03-04,2.106606699042659,2.522094857427864,1.691118540657454,1,1.7258064516129032,9683,2931,TRUE,TRUE,14,14
2020-03-05,1.9751768375739973,2.3724528120040076,1.577900863143987,1,1.6612903225806452,10585,4151,TRUE,TRUE,14,14
2020-03-06,1.781333701501813,2.148185288564464,1.4144821144391617,1,1.596774193548387,11464,3667,TRUE,TRUE,14,14
2020-03-07,1.572048332223133,1.903562629552634,1.2405340348936318,1,1.532258064516129,12645,5268,TRUE,TRUE,14,14
2020-03-08,1.390203919460095,1.6957707620172255,1.0846370769029645,1,1.467741935483871,13252,2814,TRUE,TRUE,14,14
2020-03-09,1.2637075289609536,1.560956801797736,0.9664582561241712,1,1.403225806451613,14033,2229,TRUE,TRUE,14,14
2020-03-10,1.1950713813195808,1.4948077476264738,0.8953350150126879,1,1.338709677419355,14426,9345,TRUE,TRUE,14,14
2020-03-11,1.154014839911903,1.4450032899067629,0.8630263899170432,1,1.2741935483870968,15065,8022,TRUE,TRUE,14,14
2020-03-12,1.1141905010701905,1.3773927113321254,0.8509882908082556,1,1.2096774193548387,15301,15578,TRUE,TRUE,14,14
2020-03-13,1.0499978737400524,1.2750476573375176,0.8249480901425873,1,1.1451612903225807,15071,10999,TRUE,TRUE,14,14
2020-03-14,0.9753860117565586,1.185747328699686,0.7650246948134312,1,1.0806451612903225,14973,10943,TRUE,FALSE,14,14
2020-03-15,0.9003956289790257,1.1231302551114106,0.6776610028466408,1,1.0161290322580645,14587,4856,TRUE,FALSE,14,14
2020-03-16,0.8508805480647448,1.0940260141870848,0.6077350819424048,1,0.9516129032258065,13921,6104,TRUE,FALSE,14,14
2020-03-17,0.8231950714161594,1.0740545675192328,0.572335575313086,1,0.8870967741935485,13222,17613,TRUE,FALSE,14,14
2020-03-18,0.8239950751326175,1.0681615580517905,0.5798285922134444,1,0.8225806451612905,12052,14642,TRUE,FALSE,14,14
2020-03-19,0.834782057639802,1.0633350200707214,0.6062290952088824,1,0.7580645161290323,10900,16195,TRUE,FALSE,14,14
2020-03-20,0.8620991081224515,1.0764528561676874,0.6477453600772156,1,0.6935483870967742,9706,17006,TRUE,FALSE,14,14
2020-03-21,0.8952743278057843,1.1010992748946993,0.6894493807168692,1,0.6290322580645162,8251,11507,FALSE,FALSE,14,14
2020-03-22,0.9434913079823993,1.1557563305973788,0.7312262853674197,1,0.564516129032258,7075,11563,FALSE,FALSE,14,14
2020-03-23,0.9775620754587752,1.2108277860305532,0.7442963648869972,1,0.5,5724,5347,FALSE,FALSE,14,14
2020-03-24,0.9834449449932476,1.2348627754210448,0.7320271145654503,1,0.5,4976,12297,FALSE,FALSE,14,14
2020-03-25,0.9267219206200199,1.1724896474984368,0.6809541937416029,1,0.5,4506,20097,FALSE,FALSE,14,14
2020-03-26,0.8161440935968687,1.0341383640209512,0.5981498231727862,1,0.5,4054,14482,FALSE,FALSE,14,14
2020-03-27,0.6651775231971675,0.8479878664599212,0.4823671799344138,1,0.5,3512,10987,TRUE,FALSE,14,14
2020-03-28,0.5143904917386642,0.6721342709725167,0.35664671250481184,1,0.5,3023,10692,TRUE,FALSE,14,14
2020-03-29,0.38537189329734417,0.5381179157419907,0.23262587085269756,1,0.5,2723,6208,TRUE,FALSE,14,14
2020-03-30,0.2918817137147209,0.45172666388040317,0.1320367635490386,1,0.5,2354,5778,FALSE,FALSE,14,14
2020-03-31,0.2308282536968429,0.4014394037738884,0.060217103619797346,1,0.5,2065,16470,FALSE,FALSE,14,14
2020-04-01,0.1983816112358944,0.37776280815087676,0.01900041432091204,1,0.5,1796,17236,FALSE,FALSE,14,14
2020-04-02,0.19145347113597874,0.37518565641317264,0.007721285858784843,1,0.5095238095238095,1607,7178,FALSE,FALSE,14,14
2020-04-03,0.20904025826453798,0.3899435110972146,0.0281370054318614,1,0.5190476190476191,1455,8739,FALSE,FALSE,14,14
2020-04-04,0.2604890991688088,0.43953826076812863,0.081439937569489,1,0.5285714285714286,1343,12345,FALSE,FALSE,14,14
2020-04-05,0.3636395034772781,0.5661528880029127,0.16112611895164342,1,0.5380952380952381,1172,2632,TRUE,FALSE,14,14
2020-04-06,0.5436975747887685,0.8355560255574086,0.25183912402012837,1,0.5476190476190476,1003,1950,TRUE,FALSE,14,14
2020-04-07,0.793136003511273,1.2115551301468364,0.3747168768757096,1,0.5571428571428572,949,9433,TRUE,FALSE,14,14
2020-04-08,1.0558342994656584,1.5431260559862174,0.5685425429450993,1,0.5666666666666667,852,3797,FALSE,TRUE,14,14
2020-04-09,1.2049089380447762,1.6484524231492719,0.7613654529402804,1,0.5761904761904761,785,3457,FALSE,TRUE,14,14
2020-04-10,1.185427540836888,1.5440304389514021,0.8268246427223739,1,0.5857142857142856,696,2567,FALSE,TRUE,14,14
2020-04-11,1.0258388343333535,1.337889909655451,0.7137877590112559,1,0.5952380952380952,676,2458,FALSE,TRUE,14,14
2020-04-12,0.8290412382841249,1.1321957771848257,0.5258866993834241,1,0.6047619047619047,627,1472,TRUE,FALSE,14,14
2020-04-13,0.6536954943498656,0.9485420718482773,0.35884891685145387,1,0.6142857142857142,502,879,TRUE,FALSE,14,14
2020-04-14,0.5315649056402464,0.811263009179252,0.2518668021012408,1,0.6238095238095238,534,2454,TRUE,FALSE,14,14
2020-04-15,0.4650272851772937,0.7259770993782073,0.20407747097638007,1,0.6333333333333333,483,2912,TRUE,FALSE,14,14
2020-04-16,0.44818061245409624,0.6961035580419055,0.20025766686628693,1,0.6428571428571428,478,1912,TRUE,FALSE,14,14
2020-04-17,0.4748744195867499,0.7166941073112099,0.23305473186228998,1,0.6523809523809523,421,1650,TRUE,FALSE,14,14
2020-04-18,0.5364612689259032,0.7799092116928374,0.2930133261589689,1,0.6619047619047619,368,1698,TRUE,FALSE,14,14
2020-04-19,0.6232195133433723,0.8725017047213394,0.3739373219654053,1,0.6714285714285714,367,802,TRUE,FALSE,14,14
2020-04-20,0.7102931131883433,0.9624705037197254,0.4581157226569612,1,0.6809523809523809,335,477,TRUE,FALSE,14,14
2020-04-21,0.7722837251111647,1.0252484055193214,0.519319044703008,1,0.6904761904761905,320,941,TRUE,FALSE,14,14
