date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,smooth_day,exp_name
2020-02-09,1.2748699400324737,2.0596926651702705,0.49004721489467684,1,2.5,135,9,FALSE,TRUE,7,7
2020-02-10,0.9110593598355584,1.5787899831030479,0.24332873656806908,1,2.5,165,10,FALSE,FALSE,7,7
2020-02-11,1.1716066623590018,1.8782442175944078,0.46496910712359574,1,2.5,194,69,FALSE,TRUE,7,7
2020-02-12,2.1103945773123924,3.0259728567983326,1.1948162978264523,1,2.5,248,35,TRUE,TRUE,7,7
2020-02-13,3.391006825154142,4.530934130079977,2.2510795202283065,1,2.5,295,68,TRUE,TRUE,7,7
2020-02-14,4.0880686860368876,5.24616220845275,2.9299751636210254,1,2.5,358,33,FALSE,TRUE,7,7
2020-02-15,3.63184135729758,4.820287609504158,2.4433951050910023,1,2.5,485,60,TRUE,TRUE,7,7
2020-02-16,2.8202531349894318,3.967099200180412,1.6734070697984518,1,2.5,557,55,TRUE,TRUE,7,7
2020-02-17,2.2678316591947683,3.2308299453492184,1.3048333730403179,1,2.5,647,73,TRUE,TRUE,7,7
2020-02-18,2.1515378116499204,2.993210787393056,1.3098648359067848,1,2.5,866,168,TRUE,TRUE,7,7
2020-02-19,2.396426471430226,3.293693063871318,1.4991598789891336,1,2.5,1103,168,TRUE,TRUE,7,7
2020-02-20,2.9338862046518415,3.9627693526719647,1.9050030566317182,1,2.5,1288,225,TRUE,TRUE,7,7
2020-02-21,3.4757991056511792,4.582747215491981,2.368850995810378,1,2.5,1594,270,TRUE,TRUE,7,7
2020-02-22,3.660647450416959,4.748119951593298,2.5731749492406193,1,2.435483870967742,1984,416,FALSE,TRUE,7,7
2020-02-23,3.0903396600564306,4.0134999098936275,2.1671794102192337,1,2.370967741935484,2414,340,TRUE,TRUE,7,7
2020-02-24,2.1836714889529243,2.8641225095640546,1.503220468341794,1,2.306451612903226,2765,195,TRUE,TRUE,7,7
2020-02-25,1.439282953829229,1.9391558812353298,0.9394100264231284,1,2.241935483870968,3343,681,FALSE,TRUE,7,7
