date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate
2020-02-08,2.488112089821371,2.8702453634935936,2.105978816149148,1
2020-02-09,2.363849547863375,2.724054565974232,2.0036445297525183,1
2020-02-10,2.2752913158030155,2.603192629815419,1.9473900017906118,1
2020-02-11,2.202602649000911,2.500881582523578,1.904323715478244,1
2020-02-12,2.14616554802472,2.415446658026605,1.8768844380228356,1
2020-02-13,2.1109794594600215,2.373527214518321,1.8484317044017222,1
2020-02-14,2.1079398019013373,2.387715051044941,1.8281645527577337,1
2020-02-15,2.1373819490580166,2.43114678143347,1.8436171166825635,1
2020-02-16,2.182216698418411,2.4853040713094408,1.8791293255273813,1
2020-02-17,2.1969064531312523,2.50027228463603,1.8935406216264743,1
2020-02-18,2.1529862894142324,2.4361788275502114,1.8697937512782534,1
2020-02-19,2.0669006483424255,2.3208274816645806,1.8129738150202703,1
2020-02-20,1.9743090366652511,2.2056938354040545,1.742924237926448,1
2020-02-21,1.8932384266287972,2.1081463937897835,1.678330459467811,1
2020-02-22,1.8209728786608042,2.0245915379486386,1.6173542193729697,1
2020-02-23,1.7468603343744105,1.9435996184840238,1.550121050264797,1
2020-02-24,1.6643148030996826,1.8505131705129416,1.4781164356864236,1
2020-02-25,1.571650928548689,1.7423102847159317,1.4009915723814463,1
2020-02-26,1.4721726348688489,1.6290317586836387,1.315313511054059,1
2020-02-27,1.3734735328473544,1.521377736005045,1.225569329689664,1
2020-02-28,1.2838362964580652,1.428654128999842,1.1390184639162884,1
2020-02-29,1.209908514924641,1.3575268631968018,1.06229016665248,1
2020-03-01,1.1517563633878058,1.3015286578876852,1.0019840688879265,1
2020-03-02,1.1034329030932009,1.2503581592074005,0.9565076469790013,1
2020-03-03,1.059000519730175,1.2001076506067245,0.9178933888536257,1
2020-03-04,1.017330877006847,1.1508354690094877,0.8838262850042063,1
2020-03-05,0.9797613277778543,1.102971541772156,0.8565511137835526,1
2020-03-06,0.9484501228330833,1.0612977691627676,0.835602476503399,1
2020-03-07,0.9246807635505527,1.0302810849756476,0.8190804421254578,1
2020-03-08,0.9092198966835461,1.0096719879346956,0.8087678054323966,1
2020-03-09,0.8983187600725066,0.9946930412418028,0.8019444789032103,1
2020-03-10,0.8849558230417198,0.9789382612596935,0.7909733848237461,1
2020-03-11,0.863972037556409,0.9565125488347114,0.7714315262781065,1
2020-03-12,0.8339879139556625,0.9254761901190136,0.7424996377923114,1
2020-03-13,0.7965723921228033,0.8882827275838695,0.7048620566617371,1
2020-03-14,0.7540707592909272,0.84597307707315,0.6621684415087044,1
2020-03-15,0.7111967517934266,0.8016156392078182,0.6207778643790349,1
2020-03-16,0.6709757283896438,0.7589434962895379,0.5830079604897497,1
2020-03-17,0.6301607113704257,0.7151210412177469,0.5452003815231046,1
2020-03-18,0.5838559730582242,0.6649313624002289,0.5027805837162196,1
2020-03-19,0.5334555162809336,0.6112397826381976,0.4556712499236696,1
2020-03-20,0.48664033501935205,0.562767874651134,0.4105127953875702,1
2020-03-21,0.45025577447730286,0.5251772196816287,0.375334329272977,1
2020-03-22,0.4253166815231097,0.4999610646740692,0.3506722983721502,1
2020-03-23,0.41275189111647204,0.4886114068946841,0.33689237533826,1
2020-03-24,0.41165791248079653,0.4883027855321186,0.33501303942947447,1
2020-03-25,0.41939959511423464,0.49611330697552697,0.3426858832529423,1
2020-03-26,0.4341845041727365,0.5122169270250878,0.35615208132038517,1
2020-03-27,0.45710430328364793,0.5381085593231733,0.37610004724412266,1
2020-03-28,0.4895049734489749,0.5750162318690824,0.40399371502886744,1
2020-03-29,0.5285694716845483,0.6193861595179252,0.43775278385117133,1
2020-03-30,0.5706970307961919,0.6646095006109776,0.47678456098140626,1
2020-03-31,0.613971757215071,0.707381872012413,0.5205616424177291,1
2020-04-01,0.6518089331675462,0.7429884655210139,0.5606294008140784,1
2020-04-02,0.6735989752144186,0.7635538991276297,0.5836440513012074,1
2020-04-03,0.6751228479253844,0.7673548420877343,0.5828908537630344,1
2020-04-04,0.6655912537554524,0.7628577274803499,0.5683247800305549,1
2020-04-05,0.6589162214806028,0.7591026431050109,0.5587297998561948,1
2020-04-06,0.6594181953667876,0.7584212113362523,0.5604151793973229,1
2020-04-07,0.6643368926324408,0.7589163971495695,0.5697573881153121,1
2020-04-08,0.6703541124393084,0.7585287216354905,0.5821795032431264,1
2020-04-09,0.6775654253604717,0.760353048470634,0.5947778022503094,1
2020-04-10,0.6827384039372817,0.7647629982919618,0.6007138095826016,1
2020-04-11,0.6818735791397721,0.7669727886293748,0.5967743696501694,1
2020-04-12,0.6749408519876853,0.7648028420200336,0.585078861955337,1
2020-04-13,0.6657278191580227,0.7596084448168179,0.5718471934992275,1
2020-04-14,0.6576144867657026,0.7519141748143896,0.5633147987170155,1
2020-04-15,0.650644832851306,0.7421829041904366,0.5591067615121754,1
2020-04-16,0.644918670688784,0.7336625507051585,0.5561747906724094,1
2020-04-17,0.6433114422854078,0.7316069001545282,0.5550159844162874,1
2020-04-18,0.6499115554620924,0.7414566133218327,0.5583664976023522,1
2020-04-19,0.6658013169275376,0.7628545599473154,0.5687480739077598,1
2020-04-20,0.6881993662312466,0.7887974210618217,0.5876013114006714,1
2020-04-21,0.7135365691333811,0.8133850505075937,0.6136880877591686,1
2020-04-22,0.7394524866491179,0.8352191626922392,0.6436858106059966,1
2020-04-23,0.7635029862505993,0.8545135098567275,0.6724924626444712,1
2020-04-24,0.7840353839614209,0.8723133078168566,0.6957574601059853,1
2020-04-25,0.8039783221669304,0.8928874794861152,0.7150691648477456,1
