date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate
2020-02-10,2.8452956810450294,3.253099762926781,2.464453791326001,1
2020-02-11,2.700162678868443,3.045881482711545,2.375001552746805,1
2020-02-12,2.643409197563283,2.944868817656436,2.347096801647398,1
2020-02-13,2.6485635167255217,2.9470701224465303,2.350056911004513,1
2020-02-14,2.6934971569306985,2.9915688468961106,2.3954254669652864,1
2020-02-15,2.7392429018698996,3.0396615978843413,2.438824205855458,1
2020-02-16,2.725866055589991,3.02344106966311,2.4282910415168724,1
2020-02-17,2.637686846238329,2.917137702286834,2.3582359901898244,1
2020-02-18,2.516871142088886,2.779122718731583,2.2546195654461894,1
2020-02-19,2.4216474640055887,2.673995141282955,2.1692997867282227,1
2020-02-20,2.3706008426584626,2.613427083900275,2.1277746014166503,1
2020-02-21,2.3432864218643337,2.584137865891382,2.1024349778372855,1
2020-02-22,2.316712141184009,2.5597891574910925,2.073635124876925,1
2020-02-23,2.281426787357938,2.520626774294576,2.0422268004213002,1
2020-02-24,2.2358399175257455,2.474093625149832,1.9975862099016588,1
2020-02-25,2.200824709272091,2.4406549995987903,1.9609944189453923,1
2020-02-26,2.199750492098764,2.436509338527939,1.9629916456695886,1
2020-02-27,2.236337008137274,2.47582108837869,1.9968529278958584,1
2020-02-28,2.286489789054382,2.5346822468038144,2.0382973313049493,1
2020-02-29,2.322815644865274,2.571770325734,2.0738609639965477,1
2020-03-01,2.336366360467047,2.579559793550361,2.0931729273837325,1
2020-03-02,2.3086485266535264,2.5426546587860064,2.0746423945210464,1
2020-03-03,2.229180487777354,2.4462058182528166,2.0121551573018914,1
2020-03-04,2.1165444629464343,2.3162585126394646,1.9168304132534042,1
2020-03-05,2.0069365391418406,2.1986262524640496,1.8152468258196313,1
2020-03-06,1.9165812331200012,2.1043708227204005,1.7287916435196018,1
2020-03-07,1.8331348275403139,2.018303086377988,1.6479665687026397,1
2020-03-08,1.7431651472681033,1.9275533782226069,1.5587769163135998,1
2020-03-09,1.6471426447116855,1.827962724828512,1.466322564594859,1
2020-03-10,1.5503269331782514,1.7234943776928087,1.3771594886636942,1
2020-03-11,1.456428545031406,1.6219175891383606,1.2909395009244515,1
2020-03-12,1.3702523357151466,1.5293035810560693,1.2112010903742239,1
2020-03-13,1.3007222118158437,1.4530381020537946,1.1484063215778928,1
2020-03-14,1.249310779021374,1.3939764744800138,1.1046450835627342,1
2020-03-15,1.207281726918229,1.3427610612365186,1.0718023925999394,1
2020-03-16,1.1649903003583928,1.2895447209923905,1.040435879724395,1
2020-03-17,1.120951236028235,1.2358150191127415,1.0060874529437285,1
2020-03-18,1.0793660936501426,1.1889924502354123,0.9697397370648728,1
2020-03-19,1.0408112168068062,1.1487929131407604,0.932829520472852,1
2020-03-20,1.0045441252582776,1.1125396708285962,0.8965485796879591,1
2020-03-21,0.970451614621936,1.0794004360267604,0.8615027932171115,1
2020-03-22,0.9377089140977196,1.0466411350997782,0.828776693095661,1
2020-03-23,0.9014380010608534,1.0071557315205872,0.7957202706011196,1
2020-03-24,0.8576140522423142,0.9572515772529583,0.7579765272316702,1
2020-03-25,0.8091933302823917,0.9016274326920954,0.716759227872688,1
2020-03-26,0.7645001358224537,0.8506104237869576,0.6783898478579498,1
2020-03-27,0.7282985143939031,0.8111509664469083,0.645446062340898,1
2020-03-28,0.6983576722365161,0.781122874638042,0.6155924698349903,1
2020-03-29,0.6705638201001208,0.7545083159076967,0.5866193242925449,1
2020-03-30,0.6436782574603417,0.7294091114192944,0.5579474035013889,1
2020-03-31,0.616620029787016,0.7039587697331121,0.5292812898409199,1
2020-04-01,0.5868616789693774,0.6743365314385042,0.4993868265002505,1
2020-04-02,0.5541668491530305,0.6407066728197636,0.4676270254862975,1
2020-04-03,0.5251828365992732,0.61030968274125,0.44005599045729654,1
2020-04-04,0.5078538832615024,0.5908729906153736,0.42483477590763113,1
2020-04-05,0.5032330278640754,0.5841903756962213,0.4222756800319295,1
2020-04-06,0.5067368592293312,0.5864937152179677,0.42698000324069474,1
2020-04-07,0.5123611742610303,0.5916881872540658,0.4330341612679949,1
2020-04-08,0.5181405611027188,0.5988799290748366,0.43740119313060094,1
2020-04-09,0.5241485464043374,0.6090195458250666,0.4392775469836082,1
2020-04-10,0.5312624559653913,0.6218033049884693,0.4407216069423134,1
2020-04-11,0.5396254727763105,0.6364634876915485,0.4427874578610725,1
2020-04-12,0.5495645212039938,0.65199685003447,0.4471321923735175,1
2020-04-13,0.5612615327984818,0.6661641823648177,0.4563588832321459,1
2020-04-14,0.5735935193131864,0.6772666807912759,0.4699203578350968,1
2020-04-15,0.5835585435072772,0.6841206068299209,0.4829964801846335,1
2020-04-16,0.5890401826023612,0.6862004202093541,0.4918799449953684,1
2020-04-17,0.5913018191259145,0.6861906834770423,0.49641295477478675,1
2020-04-18,0.593041950950304,0.6881261292088705,0.4979577726917374,1
2020-04-19,0.5958847396426769,0.6933797572477469,0.4983897220376068,1
2020-04-20,0.5989476537050517,0.7006720003611692,0.4972233070489342,1
2020-04-21,0.5995752387619561,0.7068059682205609,0.4923445093033513,1
2020-04-22,0.5963816493200648,0.7102190140242954,0.4825442846158341,1
2020-04-23,0.5924392016531863,0.7138676013412206,0.47101080196515205,1
2020-04-24,0.5941773584404862,0.7224390303099949,0.4659156865709776,1
2020-04-25,0.6045733266013416,0.7375418991323747,0.47160475407030844,1
2020-04-26,0.6201846889321657,0.7552013545866192,0.48516802327771225,1
2020-04-27,0.6351665109420471,0.7694045662723361,0.5009284556117581,1
