date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate
2020-02-10,2.7791475796400604,3.1535963713699555,2.4046987879101653,150.60118082898208,12.187123625303675,1
2020-02-11,2.763686267077865,3.1339214849054944,2.3934510492502357,191.62860235674444,14.88027420054735,1
2020-02-12,2.7722712748319878,3.151871987036913,2.3926705626270626,239.78141050867023,19.166814308770565,1
2020-02-13,2.735196944598627,3.119636871026662,2.350757018170592,294.0980520126079,24.35475385150052,1
2020-02-14,2.6321273100566103,2.999730983490123,2.2645236366230974,357.41916660981707,29.86491529633387,1
2020-02-15,2.5018167983499775,2.845306616413307,2.158326980286648,432.9649887960548,37.24121948576478,1
2020-02-16,2.40037778268005,2.7236561394205157,2.077099425939584,532.4020316795974,45.69330823582639,1
2020-02-17,2.346638697082,2.652052775236798,2.041224618927202,660.9646287853691,54.74961923215411,1
2020-02-18,2.321769407751853,2.6212241285807645,2.0223146869229414,812.251428268743,67.18892235631297,1
2020-02-19,2.3037776753032784,2.6097030964643912,1.9978522541421653,983.2634668143804,81.71016271050321,1
2020-02-20,2.2825032075900626,2.5977842084596627,1.9672222067204623,1178.845144713798,97.81657373664277,1
2020-02-21,2.2539807907096456,2.587089877477533,1.9208717039417582,1404.8127148848864,122.09559352305887,1
2020-02-22,2.2362971501799263,2.58815894256717,1.8844353577926822,1681.1412684261513,153.59712462338163,1
2020-02-23,2.250576983053472,2.6022941411601,1.8988598249468442,2021.733796397042,188.4400485279072,1
2020-02-24,2.2984767103010295,2.631718439709471,1.965234980892588,2424.523049303674,232.1520727334975,1
2020-02-25,2.354168733974785,2.6596825666879136,2.0486549012616564,2890.814568979429,276.47354497527743,1
2020-02-26,2.3898674720398567,2.664046189929425,2.1156887541502885,3423.7488302066727,309.64592743756964,1
2020-02-27,2.3983424833940226,2.6529476337208635,2.1437373330671816,4023.89017129137,338.3344288906163,1
2020-02-28,2.363043492717148,2.6185536281830313,2.107533357251265,4659.01042912516,369.2731083411022,1
2020-02-29,2.2751674691173287,2.5368925753260183,2.013442362908639,5325.150597548051,398.0178404668088,1
2020-03-01,2.154637855866316,2.420595869616822,1.8886798421158102,6070.640831635053,444.45926526274286,1
2020-03-02,2.0384044000904917,2.3075876289199746,1.7692211712610089,6928.019490045125,525.6409783254314,1
2020-03-03,1.9430682177715302,2.2111492837361175,1.6749871518069428,7866.313912382105,617.4588138754228,1
2020-03-04,1.8563300103474374,2.117710017705719,1.594950002989156,8838.050380199345,714.3565526342574,1
2020-03-05,1.7645708028888074,2.0164444850565717,1.512697120721043,9733.216399361703,819.5923441626871,1
2020-03-06,1.6677539382464608,1.9054594324838434,1.4300484440090782,10509.306029574504,906.6910693379214,1
2020-03-07,1.570345377924208,1.788037393544491,1.352653362303925,11223.82701718726,965.5985968260793,1
2020-03-08,1.4752841388621787,1.673345184716641,1.2772230930077164,11908.770514036514,1017.1195635992591,1
2020-03-09,1.3868739426383803,1.5710198819429184,1.2027280033338421,12544.672010068152,1053.4199913715868,1
2020-03-10,1.313973917303797,1.4900246178280732,1.1379232167795208,13121.651818097545,1077.913110731595,1
2020-03-11,1.2583235221788212,1.433152532720929,1.0834945116367134,13599.369358350765,1130.2206385716602,1
2020-03-12,1.2117035025929,1.3893699872962455,1.0340370178895544,13910.938894373428,1191.985787932172,1
2020-03-13,1.1651080579128257,1.3418859322199148,0.9883301836057365,14009.156346954525,1200.6021641911002,1
2020-03-14,1.1175277093162008,1.287071633295863,0.9479837853365387,13879.583442519086,1167.638958013915,1
2020-03-15,1.073266293439471,1.232699249003362,0.9138333378755801,13590.463294423027,1119.7088713009846,1
2020-03-16,1.0326707986632275,1.182692497187728,0.8826491001387271,13224.446784079411,1061.5564936552007,1
2020-03-17,0.9946615921466251,1.1386750916843882,0.8506480926088619,12842.533172526315,1025.944479782735,1
2020-03-18,0.9589113273819838,1.1014981380617896,0.816324516702178,12399.093086073182,1013.8447236478651,1
2020-03-19,0.924627402846156,1.0679348432278561,0.7813199624644558,11819.467855932506,992.7019741532893,1
2020-03-20,0.8871829733677149,1.0304266732063287,0.743939273529101,11102.713660196388,966.1974822575304,1
2020-03-21,0.8427476001422182,0.9842667656398647,0.7012284346445716,10309.171553422897,939.6856319675004,1
2020-03-22,0.7942290474573211,0.9327398263493933,0.655718268565249,9463.248844276124,905.2819100157201,1
2020-03-23,0.7497168843773696,0.885043765128197,0.6143900036265422,8632.353742240217,880.1996525392324,1
2020-03-24,0.7138224041164486,0.8462250189026317,0.5814197893302655,7860.204411300061,852.3122879595799,1
2020-03-25,0.6843389659756723,0.8124406033877949,0.5562373285635498,7135.943421381866,794.0083924760687,1
2020-03-26,0.657220648470876,0.7784496934525773,0.5359916034891747,6459.044388625121,720.0171791752963,1
2020-03-27,0.6312634760188195,0.7448844775002053,0.5176424745374337,5813.802822162864,641.9218772511465,1
2020-03-28,0.605462753351984,0.7133707560090288,0.49755475069493915,5171.362345105334,549.997512902334,1
2020-03-29,0.5773345079675216,0.6839545064301656,0.4707145095048776,4547.391240543121,475.20722608444197,1
2020-03-30,0.5465233805658315,0.6577756649986181,0.43527109613304493,3991.3952359177347,435.1398121689677,1
2020-03-31,0.5194341616921501,0.6385595881083188,0.4003087352759813,3524.9919522348428,407.06489262368433,1
2020-04-01,0.5039140672580986,0.6298516608365885,0.3779764736796088,3139.4329111676702,385.26244218877673,1
2020-04-02,0.5011802102646157,0.6316282457884909,0.3707321747407405,2797.5384397286534,366.8634784510228,1
