date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate
2020-02-08,3.0824399529514444,3.6361852718798438,2.5738653215371845,1
2020-02-09,2.9552842966916146,3.445941788347398,2.4646268050358313,1
2020-02-10,2.882687971739699,3.344262285731095,2.4211136577483034,1
2020-02-11,2.8078697191155126,3.229558661565881,2.386180776665144,1
2020-02-12,2.7143021372957423,3.0641875761979467,2.364416698393538,1
2020-02-13,2.6146422746269393,2.90173654836246,2.3275480008914187,1
2020-02-14,2.571159660728534,2.834817776969169,2.3075015444878986,1
2020-02-15,2.615929230208534,2.8909657766338124,2.3408926837832555,1
2020-02-16,2.7166329274935093,3.0344816868359286,2.39878416815109,1
2020-02-17,2.7978563023082974,3.147292378955447,2.448420225661148,1
2020-02-18,2.808514185595151,3.1463942001085057,2.4706341710817963,1
2020-02-19,2.747093343552174,3.050301855302726,2.4438848318016215,1
2020-02-20,2.6391719295723153,2.898896942918325,2.3794469162263057,1
2020-02-21,2.513635678469911,2.7281646714344983,2.299106685505324,1
2020-02-22,2.394150801804888,2.598154583417231,2.190147020192545,1
2020-02-23,2.300231891370718,2.528873030207501,2.0715907525339348,1
2020-02-24,2.233866700618197,2.480722153135467,1.987011248100927,1
2020-02-25,2.1800462205954316,2.4345837271563866,1.9255087140344767,1
2020-02-26,2.1277488967480376,2.3730899907511036,1.8824078027449718,1
2020-02-27,2.078604422618831,2.292791427407452,1.8644174178302102,1
2020-02-28,2.03840118452541,2.2340475993521065,1.8427547696987134,1
2020-02-29,2.021152579318545,2.2294731376998387,1.8128320209372513,1
2020-03-01,2.0332204612811537,2.256452578562431,1.8099883439998765,1
2020-03-02,2.0645746703821852,2.30047465229284,1.8286746884715304,1
2020-03-03,2.0748115236749434,2.3168679742276708,1.8327550731222157,1
2020-03-04,2.0339810820162576,2.260781157472279,1.8071810065602363,1
2020-03-05,1.951245054678026,2.1492381781885594,1.7532519311674923,1
2020-03-06,1.8570902157331608,2.027338168026136,1.6868422634401854,1
2020-03-07,1.771846061694949,1.9170227296329467,1.6266693937569512,1
2020-03-08,1.699942216728426,1.830455195820055,1.5694292376367969,1
2020-03-09,1.6362448160093421,1.7698255469705406,1.5026640850481436,1
2020-03-10,1.5736064118573343,1.7134773293940602,1.4337354943206084,1
2020-03-11,1.5048988490898,1.6463707641188394,1.3634269340607608,1
2020-03-12,1.427445116170683,1.5662090757896527,1.2886811565517131,1
2020-03-13,1.3455110115799007,1.4750482324210006,1.2159737907388009,1
2020-03-14,1.267258196707984,1.3822756067271798,1.152240786688788,1
2020-03-15,1.2011510420503984,1.3035932912567085,1.0987087928440882,1
2020-03-16,1.1494646987799066,1.2444072036355565,1.0545221939242568,1
2020-03-17,1.107531319058639,1.1983139604912658,1.0167486776260124,1
2020-03-18,1.0692460482537622,1.1585542268307438,0.9799378696767806,1
2020-03-19,1.0322688531964506,1.121090229976034,0.9434474764168671,1
2020-03-20,0.9967100814074664,1.0845230869137485,0.9088970759011842,1
2020-03-21,0.964623779833006,1.0519271776544996,0.8773203820115124,1
2020-03-22,0.9385256238842715,1.0268659719752726,0.8501852757932703,1
2020-03-23,0.9210080182932965,1.0102675156562677,0.8317485209303254,1
2020-03-24,0.909759948667807,0.9978089170147255,0.8217109803208884,1
2020-03-25,0.8983080610266078,0.9823465632548112,0.8142695587984043,1
2020-03-26,0.8811046476536069,0.9595296460377227,0.802679649269491,1
2020-03-27,0.8557292216698126,0.9305052851199622,0.7809531582196629,1
2020-03-28,0.8227592986357131,0.8978984408904525,0.7476201563809737,1
2020-03-29,0.7843422736646017,0.8610452033659652,0.7076393439632382,1
2020-03-30,0.7458410394462407,0.8222312145247834,0.669450864367698,1
2020-03-31,0.710879835647529,0.7852568272561962,0.6365028440388618,1
2020-04-01,0.6756750074284753,0.7460331603981533,0.6053168544587973,1
2020-04-02,0.6338387429553759,0.698464984487929,0.5692125014228228,1
2020-04-03,0.585394954769441,0.6464414779185519,0.5243484316203302,1
2020-04-04,0.537434775254724,0.599608669237418,0.4752608812720301,1
2020-04-05,0.4973521333497655,0.5621969324842707,0.4325073342152603,1
2020-04-06,0.46739700944320806,0.5348473810359322,0.39994663785048384,1
2020-04-07,0.44993443192795307,0.5197927493673149,0.3800761144885913,1
2020-04-08,0.4444720970040151,0.5151132594133109,0.3738309345947193,1
2020-04-09,0.4476076327104075,0.5173492766740471,0.3778659887467679,1
2020-04-10,0.4564333896074357,0.5255494403285225,0.38731733888634884,1
2020-04-11,0.4711564868492498,0.5404205344249428,0.4018924392735569,1
2020-04-12,0.49267359316553055,0.5632210401622775,0.42212614616878363,1
2020-04-13,0.5184499169792526,0.591510943365274,0.44538889059323117,1
2020-04-14,0.5460501962695836,0.6203265131429089,0.47177387939625837,1
2020-04-15,0.5750504863511853,0.6476385190096581,0.5024624536927125,1
2020-04-16,0.6003500163351663,0.6691591209182728,0.5315409117520598,1
2020-04-17,0.6127704411397161,0.6774571148363306,0.5480837674431016,1
2020-04-18,0.608525382918616,0.6718846706464224,0.5451660951908096,1
2020-04-19,0.5955717273925359,0.6617898090364344,0.5293536457486375,1
2020-04-20,0.5864786310871476,0.6563595779917629,0.5165976841825323,1
2020-04-21,0.586349788243033,0.6590310202536891,0.5136685562323768,1
2020-04-22,0.5943067465625012,0.6687002383173304,0.5199132548076719,1
2020-04-23,0.6079677585086026,0.6821450267813798,0.5337904902358255,1
2020-04-24,0.6261315012634657,0.6999657045527315,0.5522972979741999,1
2020-04-25,0.643218004302805,0.7191374893187195,0.5672985192868905,1
