Re,infections,observations,date,replicate
1.1380952380952383,579,473,2020-07-14,1
1.1476190476190478,586,416,2020-07-15,1
1.1571428571428573,641,495,2020-07-16,1
1.1666666666666667,628,354,2020-07-17,1
1.1761904761904762,645,302,2020-07-18,1
1.1857142857142857,705,316,2020-07-19,1
1.1952380952380952,720,241,2020-07-20,1
1.204761904761905,760,552,2020-07-21,1
1.2142857142857144,771,487,2020-07-22,1
1.223809523809524,820,722,2020-07-23,1
1.2333333333333334,891,609,2020-07-24,1
1.2428571428571429,891,441,2020-07-25,1
1.2523809523809524,935,327,2020-07-26,1
1.2619047619047619,1022,242,2020-07-27,1
1.2714285714285714,1080,429,2020-07-28,1
1.280952380952381,1114,899,2020-07-29,1
1.2904761904761906,1251,877,2020-07-30,1
1.3,1294,377,2020-07-31,1
1.3,1337,484,2020-08-01,1
1.3,1484,607,2020-08-02,1
1.3,1495,357,2020-08-03,1
1.3,1571,556,2020-08-04,1
1.3,1740,710,2020-08-05,1
1.3,1805,943,2020-08-06,1
1.3,1886,605,2020-08-07,1
1.3,2013,725,2020-08-08,1
1.3,2104,323,2020-08-09,1
1.280952380952381,2287,481,2020-08-10,1
1.2619047619047619,2392,1120,2020-08-11,1
1.2428571428571429,2407,1005,2020-08-12,1
1.223809523809524,2458,1371,2020-08-13,1
1.2047619047619047,2602,766,2020-08-14,1
1.1857142857142857,2715,1448,2020-08-15,1
1.1666666666666667,2796,841,2020-08-16,1
1.1476190476190475,2917,596,2020-08-17,1
1.1285714285714286,2924,1586,2020-08-18,1
1.1095238095238096,2964,2219,2020-08-19,1
1.0904761904761906,2930,1445,2020-08-20,1
1.0714285714285714,2964,1505,2020-08-21,1
1.0523809523809524,3006,1737,2020-08-22,1
1.0333333333333332,2961,1285,2020-08-23,1
1.0142857142857142,2951,1128,2020-08-24,1
0.9952380952380953,2901,2174,2020-08-25,1
0.9761904761904763,2984,2113,2020-08-26,1
0.9571428571428572,2894,2144,2020-08-27,1
0.9380952380952381,2766,1870,2020-08-28,1
0.9190476190476191,2670,2766,2020-08-29,1
0.9,2614,1570,2020-08-30,1
0.9,2641,1470,2020-08-31,1
0.9,2478,2554,2020-09-01,1
0.9,2493,3081,2020-09-02,1
0.9,2333,2658,2020-09-03,1
0.9,2375,1751,2020-09-04,1
0.9,2403,2308,2020-09-05,1
0.9,2294,2232,2020-09-06,1
0.9,2177,1107,2020-09-07,1
0.9,2183,3957,2020-09-08,1
0.9,2155,4204,2020-09-09,1
0.9,2034,4166,2020-09-10,1
0.9,2040,2684,2020-09-11,1
0.9,2066,3824,2020-09-12,1
0.9,1953,1729,2020-09-13,1
0.9,1996,1250,2020-09-14,1
0.9,1936,3858,2020-09-15,1
0.9,1833,2961,2020-09-16,1
0.9,1820,2730,2020-09-17,1
0.9,1743,2625,2020-09-18,1
0.9,1782,3287,2020-09-19,1
0.9,1684,1797,2020-09-20,1
0.9,1693,1641,2020-09-21,1
0.9,1628,3828,2020-09-22,1
0.9,1582,1558,2020-09-23,1
0.9,1489,4168,2020-09-24,1
0.9,1497,2342,2020-09-25,1
0.9,1473,2951,2020-09-26,1
0.9,1365,1963,2020-09-27,1
0.9,1309,1032,2020-09-28,1
0.9,1339,2046,2020-09-29,1
0.9,1360,2336,2020-09-30,1
0.9,1241,3456,2020-10-01,1
0.9,1267,1826,2020-10-02,1
0.9,1207,2338,2020-10-03,1
0.9,1231,1025,2020-10-04,1
0.9,1213,1301,2020-10-05,1
0.9,1160,2891,2020-10-06,1
0.9,1123,2570,2020-10-07,1
0.9,1103,2316,2020-10-08,1
0.9095238095238095,1088,1232,2020-10-09,1
0.9190476190476191,1077,2200,2020-10-10,1
0.9285714285714286,993,1435,2020-10-11,1
0.9380952380952381,1037,641,2020-10-12,1
0.9476190476190477,1056,1836,2020-10-13,1
0.9571428571428572,1060,2375,2020-10-14,1
0.9666666666666667,997,2300,2020-10-15,1
0.9761904761904763,1047,1536,2020-10-16,1
0.9857142857142858,1097,1488,2020-10-17,1
0.9952380952380953,1056,943,2020-10-18,1
1.0047619047619047,1001,636,2020-10-19,1
1.0142857142857142,1031,2009,2020-10-20,1
1.023809523809524,1100,1809,2020-10-21,1
1.0333333333333334,1066,1571,2020-10-22,1
1.042857142857143,1027,1474,2020-10-23,1
1.0523809523809524,1049,1147,2020-10-24,1
1.061904761904762,1062,1745,2020-10-25,1
1.0714285714285716,1158,607,2020-10-26,1
1.080952380952381,1177,1285,2020-10-27,1
1.0904761904761906,1163,1280,2020-10-28,1
1.1,1220,1923,2020-10-29,1
1.1,1248,1289,2020-10-30,1
1.1,1238,833,2020-10-31,1
1.1,1225,839,2020-11-01,1
1.1,1286,475,2020-11-02,1
1.1,1329,1264,2020-11-03,1
1.1,1273,1087,2020-11-04,1
1.1,1433,1745,2020-11-05,1
1.1,1404,716,2020-11-06,1
1.1,1348,1616,2020-11-07,1
1.1,1500,820,2020-11-08,1
1.1,1485,759,2020-11-09,1
1.1,1520,1654,2020-11-10,1
1.1,1573,1443,2020-11-11,1
1.1,1621,1474,2020-11-12,1
1.1,1649,767,2020-11-13,1
1.1,1602,986,2020-11-14,1
1.1,1738,607,2020-11-15,1
1.1,1796,493,2020-11-16,1
1.1,1791,2104,2020-11-17,1
1.0857142857142859,1838,1440,2020-11-18,1
1.0714285714285716,1881,1791,2020-11-19,1
1.0571428571428572,1857,2224,2020-11-20,1
1.042857142857143,1873,2070,2020-11-21,1
1.0285714285714287,1944,766,2020-11-22,1
1.0142857142857145,1888,536,2020-11-23,1
1,1858,1533,2020-11-24,1
0.9857142857142858,1846,1999,2020-11-25,1
0.9714285714285715,1855,1861,2020-11-26,1
0.9571428571428572,1802,1656,2020-11-27,1
0.942857142857143,1720,3278,2020-11-28,1
0.9285714285714286,1607,1160,2020-11-29,1
0.9142857142857144,1682,634,2020-11-30,1
0.9000000000000001,1541,1748,2020-12-01,1
0.8857142857142858,1521,1122,2020-12-02,1
0.8714285714285714,1439,2757,2020-12-03,1
0.8571428571428572,1422,1454,2020-12-04,1
0.842857142857143,1325,2111,2020-12-05,1
0.8285714285714286,1276,1394,2020-12-06,1
0.8142857142857143,1240,1319,2020-12-07,1
0.8,1119,1813,2020-12-08,1
0.8,1087,2072,2020-12-09,1
0.8,1037,2312,2020-12-10,1
0.8,1073,1828,2020-12-11,1
0.8,930,1590,2020-12-12,1
0.8,896,1217,2020-12-13,1
0.8,842,786,2020-12-14,1
0.8,836,2592,2020-12-15,1
0.8,771,1489,2020-12-16,1
0.8,708,1929,2020-12-17,1
0.8,749,1644,2020-12-18,1
0.8,655,3028,2020-12-19,1
0.8,612,1085,2020-12-20,1
0.8,582,768,2020-12-21,1
0.8,607,2628,2020-12-22,1
0.8,547,2115,2020-12-23,1
0.8,543,2044,2020-12-24,1
0.8,485,1004,2020-12-25,1
0.8,471,985,2020-12-26,1
0.8,447,673,2020-12-27,1
0.8,444,819,2020-12-28,1
0.8,384,1049,2020-12-29,1
0.8,412,1257,2020-12-30,1
0.8,371,1280,2020-12-31,1
0.8,366,1032,2021-01-01,1
0.8,364,1416,2021-01-02,1
0.8,327,703,2021-01-03,1
0.8,333,491,2021-01-04,1
0.8,303,1033,2021-01-05,1
0.8,306,784,2021-01-06,1
0.8076923076923077,304,1304,2021-01-07,1
0.8153846153846154,285,519,2021-01-08,1
0.8230769230769232,243,1194,2021-01-09,1
0.8307692307692308,271,503,2021-01-10,1
0.8384615384615385,267,226,2021-01-11,1
0.8461538461538461,261,1188,2021-01-12,1
0.8538461538461539,253,464,2021-01-13,1
0.8615384615384616,255,1026,2021-01-14,1
0.8692307692307693,252,621,2021-01-15,1
0.8769230769230769,238,647,2021-01-16,1
0.8846153846153847,245,476,2021-01-17,1
0.8923076923076924,210,186,2021-01-18,1
0.9,222,551,2021-01-19,1
0.9076923076923077,219,372,2021-01-20,1
0.9153846153846155,211,646,2021-01-21,1
0.9230769230769231,170,498,2021-01-22,1
0.9307692307692308,232,569,2021-01-23,1
0.9384615384615385,213,202,2021-01-24,1
0.9461538461538461,209,127,2021-01-25,1
0.9538461538461539,194,345,2021-01-26,1
0.9615384615384616,179,293,2021-01-27,1
0.9692307692307692,226,362,2021-01-28,1
0.976923076923077,200,416,2021-01-29,1
0.9846153846153847,223,347,2021-01-30,1
0.9923076923076923,203,98,2021-01-31,1
1,222,135,2021-02-01,1
1,204,301,2021-02-02,1
1,211,255,2021-02-03,1
1,205,320,2021-02-04,1
1,207,341,2021-02-05,1
1,217,317,2021-02-06,1
1,220,222,2021-02-07,1
1,213,152,2021-02-08,1
1,199,216,2021-02-09,1
2.5,100,0,2020-02-02,2
2.5,5,0,2020-02-03,2
2.5,25,0,2020-02-04,2
2.5,46,0,2020-02-05,2
2.5,57,0,2020-02-06,2
2.5,77,0,2020-02-07,2
2.5,77,0,2020-02-08,2
2.5,105,1,2020-02-09,2
2.5,140,1,2020-02-10,2
2.5,180,4,2020-02-11,2
2.5,184,8,2020-02-12,2
2.5,253,12,2020-02-13,2
2.5,299,10,2020-02-14,2
2.5,373,16,2020-02-15,2
2.5,443,14,2020-02-16,2
2.5,573,9,2020-02-17,2
2.5,770,36,2020-02-18,2
2.5,811,29,2020-02-19,2
2.5,1107,51,2020-02-20,2
2.5,1391,94,2020-02-21,2
2.435483870967742,1581,50,2020-02-22,2
2.370967741935484,1928,32,2020-02-23,2
2.306451612903226,2319,34,2020-02-24,2
2.241935483870968,2652,102,2020-02-25,2
2.1774193548387095,3212,141,2020-02-26,2
2.1129032258064515,3845,295,2020-02-27,2
2.0483870967741935,4359,279,2020-02-28,2
1.9838709677419355,5024,264,2020-02-29,2
1.9193548387096775,5772,159,2020-03-01,2
1.8548387096774195,6513,147,2020-03-02,2
1.7903225806451613,7209,503,2020-03-03,2
1.7258064516129032,8133,770,2020-03-04,2
1.6612903225806452,8882,877,2020-03-05,2
1.596774193548387,9462,1063,2020-03-06,2
1.532258064516129,10423,742,2020-03-07,2
1.467741935483871,10978,700,2020-03-08,2
1.403225806451613,11385,945,2020-03-09,2
1.338709677419355,11942,2351,2020-03-10,2
1.2741935483870968,12358,2315,2020-03-11,2
1.2096774193548387,12529,1814,2020-03-12,2
1.1451612903225807,12354,2283,2020-03-13,2
1.0806451612903225,12313,2075,2020-03-14,2
1.0161290322580645,11938,2753,2020-03-15,2
0.9516129032258065,11541,2178,2020-03-16,2
0.8870967741935485,10847,9174,2020-03-17,2
0.8225806451612905,9867,9613,2020-03-18,2
0.7580645161290323,8832,8764,2020-03-19,2
0.6935483870967742,7825,7429,2020-03-20,2
0.6290322580645162,6787,4115,2020-03-21,2
0.564516129032258,5865,4471,2020-03-22,2
0.5,4734,3767,2020-03-23,2
0.5,4128,10391,2020-03-24,2
0.5,3689,14788,2020-03-25,2
0.5,3310,8507,2020-03-26,2
0.5,2844,5038,2020-03-27,2
0.5,2558,7619,2020-03-28,2
0.5,2257,10428,2020-03-29,2
0.5,1913,5708,2020-03-30,2
0.5,1732,9210,2020-03-31,2
0.5,1466,12205,2020-04-01,2
0.5095238095238095,1298,8480,2020-04-02,2
0.5190476190476191,1166,11804,2020-04-03,2
0.5285714285714286,1025,9736,2020-04-04,2
0.5380952380952381,917,5480,2020-04-05,2
0.5476190476190476,864,4525,2020-04-06,2
0.5571428571428572,771,10192,2020-04-07,2
0.5666666666666667,658,8184,2020-04-08,2
0.5761904761904761,604,10545,2020-04-09,2
0.5857142857142856,599,7328,2020-04-10,2
0.5952380952380952,521,5590,2020-04-11,2
0.6047619047619047,451,4423,2020-04-12,2
0.6142857142857142,454,2741,2020-04-13,2
0.6238095238095238,403,7076,2020-04-14,2
0.6333333333333333,363,5301,2020-04-15,2
0.6428571428571428,313,4993,2020-04-16,2
0.6523809523809523,344,4108,2020-04-17,2
0.6619047619047619,286,3452,2020-04-18,2
0.6714285714285714,288,1964,2020-04-19,2
0.6809523809523809,247,972,2020-04-20,2
0.6904761904761905,259,3303,2020-04-21,2
0.7,223,3364,2020-04-22,2
0.7,199,3137,2020-04-23,2
0.7,162,1846,2020-04-24,2
0.7,193,1347,2020-04-25,2
0.7,168,845,2020-04-26,2
0.7,171,443,2020-04-27,2
0.7,163,2063,2020-04-28,2
0.7,161,1811,2020-04-29,2
0.7,128,1589,2020-04-30,2
0.7,130,1250,2020-05-01,2
0.7363636363636363,113,547,2020-05-02,2
0.7727272727272727,125,288,2020-05-03,2
0.8090909090909091,137,347,2020-05-04,2
0.8454545454545455,112,748,2020-05-05,2
0.8818181818181818,109,674,2020-05-06,2
0.9181818181818182,128,566,2020-05-07,2
0.9545454545454546,128,481,2020-05-08,2
0.990909090909091,136,341,2020-05-09,2
1.0272727272727273,124,347,2020-05-10,2
1.0636363636363637,121,185,2020-05-11,2
1.1,157,426,2020-05-12,2
1.1,142,371,2020-05-13,2
1.1,131,381,2020-05-14,2
1.1,132,219,2020-05-15,2
1.1,128,247,2020-05-16,2
1.1,138,166,2020-05-17,2
1.1,164,148,2020-05-18,2
1.1,149,234,2020-05-19,2
1.1,155,215,2020-05-20,2
1.1,135,192,2020-05-21,2
1.1,167,170,2020-05-22,2
1.1,148,138,2020-05-23,2
1.1,135,82,2020-05-24,2
1.1,155,69,2020-05-25,2
1.1,172,317,2020-05-26,2
1.1,169,186,2020-05-27,2
1.1,163,211,2020-05-28,2
1.1,187,159,2020-05-29,2
1.1,172,130,2020-05-30,2
1.1,151,60,2020-05-31,2
1.1,191,53,2020-06-01,2
1.1,174,218,2020-06-02,2
1.1,185,137,2020-06-03,2
1.1,183,188,2020-06-04,2
1.1,191,246,2020-06-05,2
1.1,178,280,2020-06-06,2
1.1,202,81,2020-06-07,2
1.1,206,66,2020-06-08,2
1.1,207,182,2020-06-09,2
1.1,218,167,2020-06-10,2
1.1,199,194,2020-06-11,2
1.1,202,179,2020-06-12,2
1.1,223,204,2020-06-13,2
1.1,230,70,2020-06-14,2
1.1,241,61,2020-06-15,2
1.1,205,229,2020-06-16,2
1.1,233,348,2020-06-17,2
1.1,249,179,2020-06-18,2
1.1,248,331,2020-06-19,2
1.1,244,198,2020-06-20,2
1.1,251,122,2020-06-21,2
1.1,247,69,2020-06-22,2
1.1,253,290,2020-06-23,2
1.1,276,323,2020-06-24,2
1.1,288,256,2020-06-25,2
1.1,309,271,2020-06-26,2
1.1,281,173,2020-06-27,2
1.1,310,127,2020-06-28,2
1.1,319,85,2020-06-29,2
1.1,313,282,2020-06-30,2
1.1,290,343,2020-07-01,2
1.1,342,337,2020-07-02,2
1.1,356,240,2020-07-03,2
1.1,350,193,2020-07-04,2
1.1,357,142,2020-07-05,2
1.1,365,140,2020-07-06,2
1.1,385,428,2020-07-07,2
1.1,369,202,2020-07-08,2
1.1,375,361,2020-07-09,2
1.1,405,380,2020-07-10,2
1.1095238095238096,409,304,2020-07-11,2
1.119047619047619,458,188,2020-07-12,2
1.1285714285714286,445,136,2020-07-13,2
1.1380952380952383,444,404,2020-07-14,2
1.1476190476190478,508,333,2020-07-15,2
1.1571428571428573,488,334,2020-07-16,2
1.1666666666666667,481,440,2020-07-17,2
1.1761904761904762,561,438,2020-07-18,2
1.1857142857142857,573,174,2020-07-19,2
1.1952380952380952,584,70,2020-07-20,2
1.204761904761905,597,464,2020-07-21,2
1.2142857142857144,620,462,2020-07-22,2
1.223809523809524,677,449,2020-07-23,2
1.2333333333333334,718,621,2020-07-24,2
1.2428571428571429,720,261,2020-07-25,2
1.2523809523809524,789,234,2020-07-26,2
1.2619047619047619,819,239,2020-07-27,2
1.2714285714285714,891,720,2020-07-28,2
1.280952380952381,983,481,2020-07-29,2
1.2904761904761906,966,263,2020-07-30,2
1.3,1066,470,2020-07-31,2
1.3,1140,506,2020-08-01,2
1.3,1218,495,2020-08-02,2
