date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,R1,init,t3,weekly,gaussian,exp_name
2020-02-06,3.303284395559227,3.9465172218710007,2.660051569247453,1,3.5,944,48,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-07,3.1955234380025717,3.8071683864995345,2.583878489505609,1,3.5,1245,100,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-08,3.1982985411493607,3.7913205888274075,2.605276493471314,1,3.5,1691,90,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-09,3.342368799837941,3.9073538041241926,2.77738379555169,1,3.5,2295,184,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-10,3.5551507711532757,4.105576468214982,3.00472507409157,1,3.5,3104,242,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-11,3.708325266489266,4.253450371981663,3.163200160996869,1,3.5,4199,430,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-12,3.7384079152173766,4.248840154373936,3.2279756760608174,1,3.5,5682,577,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-13,3.66768576615859,4.124494512670768,3.210877019646411,1,3.5,7689,659,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-14,3.5378739365504974,3.976025890175444,3.099721982925551,1,3.5,10404,864,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-15,3.3592203842567576,3.803212347284433,2.915228421229082,1,3.5,14078,960,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-16,3.1387845023803407,3.5627741793424224,2.714794825418259,1,3.5,19049,1202,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-17,2.9001617715976318,3.2831340947099497,2.517189448485314,1,3.5,25776,2097,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-18,2.6600219000311287,3.006833680190575,2.3132101198716826,1,3.5,34878,3579,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-19,2.4273265121431686,2.7392407469981173,2.11541227728822,1,3.5,47194,2841,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-20,2.2092948485009662,2.480961436622084,1.9376282603798487,1,3.5,63860,3373,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-21,2.0161311487985385,2.259460441573711,1.7728018560233656,1,3.5,86411,6685,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-22,1.851006202471656,2.0868700249315952,1.6151423800117168,1,3.0714285714285716,102607,10238,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-23,1.7069374287944674,1.9375385818769715,1.4763362757119634,1,2.642857142857143,118829,8057,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-24,1.577574605212895,1.79596450913174,1.35918470129405,1,2.2142857142857144,130196,16103,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-25,1.4593448272016645,1.6662492584720512,1.2524403959312778,1,1.7857142857142858,131900,24236,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-26,1.3506088296583612,1.5483064268994737,1.1529112324172486,1,1.3571428571428572,120571,26237,TRUE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-27,1.2490244923882474,1.433679780181621,1.0643692045948738,1,0.9285714285714288,94521,55073,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-28,1.152695252183289,1.3216218490011384,0.9837686553654393,1,0.5,55109,41466,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-02-29,1.0619173987889658,1.219311003271928,0.9045237943060036,1,0.5,55745,35660,FALSE,TRUE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-01,0.9770354662428943,1.1253501282823022,0.8287208042034864,1,0.5,52164,41046,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-02,0.8972717350528522,1.03394953094118,0.7605939391645244,1,0.5,46405,52459,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-03,0.8228892948664729,0.9474338003950785,0.6983447893378673,1,0.5,40572,78520,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-04,0.7547004139886604,0.8715150262557356,0.6378858017215852,1,0.5,35396,88206,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-05,0.6922169246129736,0.8053665986967271,0.57906725052922,1,0.5,30929,67795,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-06,0.6339580461816179,0.7459354762934116,0.5219806160698242,1,0.5,27061,70906,FALSE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-07,0.5794461958001921,0.6929683168317492,0.46592407476863495,1,0.5,23689,66190,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-08,0.530275335888947,0.6466971606317014,0.41385351114619273,1,0.5,20738,40006,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-09,0.487722187191681,0.6063494074981185,0.3690949668852435,1,0.5,18154,67981,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-10,0.45184661262478143,0.5717952855925986,0.33189793965696424,1,0.5,15892,114090,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-11,0.42412460939961655,0.5450639722438652,0.30318524655536794,1,0.5,13911,64496,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-12,0.4055235638462869,0.5265437038348098,0.28450342385776406,1,0.5,12177,64297,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-13,0.39507148080939797,0.515911159388014,0.2742318022307819,1,0.5,10660,38744,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-14,0.3919923933023949,0.5148385713404348,0.26914621526435495,1,0.5,9331,41062,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-15,0.39676317581340265,0.5249239962242707,0.26860235540253463,1,0.5,8168,37396,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-16,0.410515602528254,0.5441484573789477,0.27688274767756027,1,0.5,7150,44851,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-17,0.4330117102692487,0.5698477021108512,0.2961757184276461,1,0.5,6259,31799,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-18,0.46230841876045,0.6037382875689514,0.32087854995194853,1,0.5,5479,34822,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-19,0.49753488825867975,0.6492239931503314,0.3458457833670281,1,0.5,4796,23989,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
2020-03-20,0.5400940391573144,0.7071732990631909,0.3730147792514378,1,0.5,4198,20003,TRUE,FALSE,3.5,1000,26,0.75,0.2,3.5_1000_26
