date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,R1,init,t3,weekly,gaussian,exp_name
2020-02-08,3.686576407170618,4.245163833561016,3.127988980780221,1,3.5,169,7,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-09,3.6105195149398317,4.112728840963271,3.108310188916392,1,3.5,229,11,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-10,3.5807197714832393,4.017078373917582,3.1443611690488966,1,3.5,310,26,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-11,3.5669053805316016,3.960674187561274,3.173136573501929,1,3.5,419,39,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-12,3.5468686601591575,3.921789977286457,3.171947343031858,1,3.5,567,51,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-13,3.5185455092540217,3.8795992904655225,3.1574917280425208,1,3.5,767,65,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-14,3.4824933401678035,3.8392585800215193,3.1257281003140878,1,3.5,1038,88,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-15,3.417887456644876,3.781312248483165,3.054462664806587,1,3.5,1405,101,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-16,3.304386441102835,3.650496744537607,2.9582761376680633,1,3.5,1901,153,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-17,3.153054381082767,3.4501106545957554,2.855998107569779,1,3.5,2572,318,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-18,2.989157030525844,3.24324316309992,2.7350708979517684,1,3.5,3480,409,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-19,2.824307434307335,3.064085114206762,2.584529754407908,1,3.5,4709,410,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-20,2.6582303085475765,2.891783122933248,2.424677494161905,1,3.5,6372,517,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-21,2.4929667624533316,2.7172421871251933,2.26869133778147,1,3.5,8622,750,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-22,2.3371820362266775,2.5562722001666844,2.1180918722866706,1,3.25,10833,844,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-23,2.186898296101228,2.3992382980475755,1.974558294154881,1,3,13489,898,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-24,2.033987334376063,2.2285868270391833,1.8393878417129428,1,2.75,16404,2066,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-25,1.8815051089493338,2.052242527238528,1.7107676906601395,1,2.5,19346,3065,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-26,1.7360636750658707,1.8875602739943964,1.584567076137345,1,2.25,22074,3630,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-27,1.5992509343937484,1.7372309157443624,1.4612709530431345,1,2,24288,3407,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-28,1.4676603804702972,1.5931961674195114,1.342124593521083,1,1.75,25636,6046,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-02-29,1.3413811578237487,1.4558967595321581,1.2268655561153392,1,1.5,25774,6094,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-01,1.2262375638913154,1.3333055374573153,1.1191695903253156,1,1.25,24436,6155,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-02,1.124340285869092,1.2251026984152527,1.0235778733229315,1,1,21504,13167,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-03,1.0324208038045755,1.1261487469460423,0.9386928606631086,1,0.75,17087,11605,FALSE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-04,0.9474480914656027,1.0359534695176618,0.8589427134135436,1,0.5,11566,10877,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-05,0.8696874919090843,0.9567894764743645,0.7825855073438042,1,0.5,11178,11633,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-06,0.8000855130667923,0.8872464604683205,0.7129245656652642,1,0.5,10234,17959,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-07,0.7379117137367421,0.8246610633350288,0.6511623641384555,1,0.5,9051,16546,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-08,0.6817282111290902,0.767722330403257,0.5957340918549234,1,0.5,7913,15892,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-09,0.6325208670209019,0.717348318478409,0.5476934155633949,1,0.5,6910,19936,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-10,0.5911065015999117,0.6751281347505333,0.5070848684492901,1,0.5,6041,18273,FALSE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-11,0.5563160204157652,0.6414515331540875,0.4711805076774429,1,0.5,5287,23088,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-12,0.5268909525228298,0.6144784439921556,0.43930346105350404,1,0.5,4628,15569,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-13,0.5011958889742864,0.5893542703196459,0.4130375076289267,1,0.5,4051,11416,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-14,0.47855184605912654,0.5641457904214915,0.3929579016967616,1,0.5,3546,13781,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-15,0.4597949214730149,0.5406824412935165,0.3789074016525133,1,0.5,3105,9112,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-16,0.4463070120140212,0.5217656578499118,0.3708483661781305,1,0.5,2718,15602,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-17,0.43833253900381475,0.5085068021453312,0.3681582758622983,1,0.5,2379,15424,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-18,0.43510483778679226,0.502384875074271,0.36782480049931354,1,0.5,2082,8990,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-19,0.4368998543144947,0.50715702747707,0.3666426811519193,1,0.5,1823,6357,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-20,0.4455647236228341,0.5237235110832269,0.3674059361624413,1,0.5,1596,8042,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-21,0.4617669126536246,0.5495385027211587,0.3739953225860905,1,0.5,1397,6525,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-22,0.485136706846517,0.5824238294224151,0.3878495842706189,1,0.5,1223,6202,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-23,0.5182991435096213,0.6240324232856874,0.4125658637335551,1,0.5545454545454546,1187,8402,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-24,0.5672183546462853,0.6793821992083688,0.4550545100842019,1,0.6090909090909091,1143,5098,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-25,0.6344949673673246,0.7516524317648785,0.5173375029697707,1,0.6636363636363637,1100,4178,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-26,0.7134826400388814,0.8363533229204894,0.5906119571572734,1,0.7181818181818183,1069,2733,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-27,0.7916686411133828,0.9209321943780351,0.6624050878487304,1,0.7727272727272727,1050,1481,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-28,0.8592176057475884,0.9937507988114521,0.7246844126837247,1,0.8272727272727274,1045,867,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-29,0.9097214707264449,1.0464394779794237,0.7730034634734662,1,0.8818181818181818,1050,1916,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-30,0.9438246999061904,1.0790321115080992,0.8086172883042818,1,0.9363636363636365,1067,2990,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-03-31,0.9666224533617874,1.0980627740030382,0.8351821327205367,1,0.990909090909091,1095,2945,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-01,0.9813768583810879,1.1089947883875453,0.8537589283746305,1,1.0454545454545454,1135,2012,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-02,0.9887366839766342,1.1136130699364664,0.8638602980168019,1,1.1,1187,1406,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-03,0.9903354058323478,1.1137006780759084,0.8669701335887872,1,1.1,1194,1284,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-04,0.9913027479052821,1.1137606785654288,0.8688448172451353,1,1.1,1213,1087,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-05,0.996568981553226,1.117171336633484,0.8759666264729683,1,1.1,1239,1642,TRUE,FALSE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-06,1.0067122811019988,1.124516347949739,0.8889082142542586,1,1.1,1264,1976,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-07,1.0183825016481414,1.1333437091209235,0.9034212941753592,1,1.1,1290,1048,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-08,1.0287332338061508,1.1408315939900784,0.9166348736222233,1,1.1,1317,1697,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-09,1.0380159439671641,1.148103500171084,0.9279283877632442,1,1.1,1343,1159,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-10,1.0478571222064763,1.159246443693388,0.9364678007195645,1,1.1,1370,1233,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
2020-04-11,1.0580974417619884,1.1725150830399427,0.943679800484034,1,1.1,1398,1232,TRUE,TRUE,3.5,100,31,0.75,0.2,3.5_100_31
