date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,R1,init,t3,weekly,gaussian,exp_name
2020-02-08,2.8801138561600297,3.2251164821362432,2.535111230183816,1,2.5,91,6,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-09,2.843075837253454,3.203251816241173,2.4828998582657347,1,2.5,113,12,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-10,2.8114332191738147,3.163684730719185,2.4591817076284443,1,2.5,140,23,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-11,2.775146316024832,3.110557546067805,2.4397350859818587,1,2.5,173,18,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-12,2.724214077756031,3.0356711972524764,2.4127569582595854,1,2.5,214,40,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-13,2.6518491957872246,2.9225190977219735,2.3811792938524756,1,2.5,265,61,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-14,2.5649706725747117,2.793020513120049,2.3369208320293744,1,2.5,328,37,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-15,2.4751862349261806,2.6865458540322535,2.2638266158201077,1,2.5,405,39,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-16,2.380751768531243,2.592585685574321,2.1689178514881653,1,2.5,502,92,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-17,2.2759555603673793,2.4839430871023636,2.067968033632395,1,2.5,620,53,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-18,2.16335176100832,2.36466985983591,1.9620336621807295,1,2.5,768,101,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-19,2.0415050177507355,2.2353224181052185,1.8476876173962522,1,2.5,950,118,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-20,1.907232389543964,2.0858419827734593,1.7286227963144687,1,2.5,1175,172,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-21,1.7627272726500918,1.9177591357536279,1.6076954095465557,1,2.5,1453,217,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-22,1.620519075895472,1.7539895861913597,1.4870485655995842,1,2.2142857142857144,1593,224,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-23,1.4907127052834444,1.6117371079510532,1.3696883026158355,1,1.9285714285714286,1709,178,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-24,1.3721379543519217,1.4857022121329944,1.258573696570849,1,1.6428571428571428,1754,501,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-25,1.260327594336905,1.367543036871318,1.153112151802492,1,1.3571428571428572,1687,563,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-26,1.1557186934016923,1.257935259944298,1.0535021268590867,1,1.0714285714285716,1496,759,TRUE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-27,1.0621432276975338,1.1603270697708232,0.9639593856242443,1,0.7857142857142858,1183,606,FALSE,TRUE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-28,0.98000553541046,1.0727638663841876,0.8872472044367322,1,0.5,775,753,FALSE,FALSE,2.5,100,26,0.75,0.2,2.5_100_26
2020-02-29,0.9046732939156885,0.9907109927384021,0.8186355950929749,1,0.5,757,834,FALSE,FALSE,2.5,100,26,0.75,0.2,2.5_100_26
