date,median_R_mean,median_R_highHPD,median_R_lowHPD,est_infections,sd_infections,replicate
2020-02-07,3.4025798843272645,3.806777906262943,2.998381862391586,128.04823125436778,10.542684633882805,1
2020-02-08,3.2765962513654725,3.6702966964069748,2.8828958063239702,164.00790634969135,14.251166653258975,1
2020-02-09,3.142648167914035,3.500717829798816,2.784578506029254,204.87823088693892,17.19934877508209,1
2020-02-10,2.956471208772673,3.248436647455219,2.664505770090127,252.67673719523415,19.543794703792347,1
2020-02-11,2.746710395749007,2.9904260151463253,2.502994776351689,305.99410457790395,22.846037145694865,1
2020-02-12,2.5713912342284555,2.8019496812973133,2.3408327871595977,378.5279596356497,26.603549111810118,1
2020-02-13,2.455529950289577,2.7000447228846145,2.2110151776945397,476.94097872138354,33.49326739679914,1
2020-02-14,2.386571665581787,2.6712350361107444,2.1019082950528296,588.6600638058858,44.74995176299441,1
2020-02-15,2.3738738403533053,2.684869817876729,2.0628778628298816,724.1719089663808,54.88524774358065,1
2020-02-16,2.406880576646308,2.708727794238115,2.1050333590545014,881.786330182584,64.74537044591382,1
2020-02-17,2.4504101271026113,2.74251880244788,2.1583014517573424,1055.8332234606835,80.96728091188385,1
2020-02-18,2.4699741306040504,2.7497841826548015,2.190164078553299,1259.591054476178,92.80837485482654,1
2020-02-19,2.4673388593483816,2.7224282751021422,2.212249443594621,1516.7101418865832,105.25911681641425,1
2020-02-20,2.4510190854645546,2.6992818393916553,2.202756331537454,1821.458044289586,130.91239413553637,1
2020-02-21,2.422169399355221,2.6836864936547453,2.160652305055697,2225.614962300419,161.0028079620869,1
2020-02-22,2.3723893251087524,2.6387263979048994,2.1060522523126055,2740.823059413639,197.11198748117553,1
2020-02-23,2.3081134041684797,2.577001692519071,2.0392251158178882,3327.1778766533016,251.3289229274287,1
2020-02-24,2.236490599617733,2.4991870688580367,1.9737941303774296,3903.7021389025062,294.7196422259242,1
2020-02-25,2.168351658667148,2.4045750141206224,1.9321283032136733,4475.00402678061,321.9890915000628,1
2020-02-26,2.109107399010123,2.3153101973638024,1.9029046006564438,5093.667960460953,359.9117085279585,1
2020-02-27,2.0726712239747616,2.2567239299358453,1.8886185180136779,5807.52146981651,390.9586766183953,1
2020-02-28,2.062306528575199,2.23153235524463,1.8930807019057685,6615.363355276874,421.5905306923968,1
2020-02-29,2.061236761458579,2.235215271186773,1.8872582517303846,7499.889899990311,490.6449492047427,1
2020-03-01,2.0195945299491913,2.207471434814236,1.8317176250841463,8350.790813959024,550.7716566913714,1
2020-03-02,1.9070830814134745,2.095011104551066,1.7191550582758828,9085.53623940197,583.0873042832177,1
2020-03-03,1.7488385698144342,1.92767425040684,1.5700028892220284,9763.60877451751,641.730821567545,1
2020-03-04,1.5923238226248884,1.76012148694462,1.4245261583051567,10374.393342982848,683.5726432679058,1
2020-03-05,1.4648373313794585,1.6172101514145711,1.3124645113443458,10908.510344507993,688.3909581185201,1
2020-03-06,1.3675530252443404,1.5084426260461838,1.226663424442497,11446.665035931375,737.6475916894848,1
2020-03-07,1.3004366070928677,1.4401056237480228,1.1607675904377126,12002.332748755345,806.3248182836616,1
2020-03-08,1.262963169155645,1.4003310422433735,1.1255952960679168,12504.916635509264,845.1647550851646,1
2020-03-09,1.2405017793736348,1.3710734019016104,1.1099301568456592,12878.692372243722,893.9354838451122,1
2020-03-10,1.207646203791789,1.3315954246444066,1.0836969829391714,13011.429231827353,922.7412748204675,1
2020-03-11,1.151282581387878,1.2668105762073394,1.0357545865684166,12904.14265036422,882.130831811465,1
2020-03-12,1.0826061564965859,1.1881284417277087,0.977083871265463,12703.641725376176,829.8766447275133,1
2020-03-13,1.022141392736853,1.122000873321843,0.9222819121518631,12513.468632028776,809.4392376838128,1
2020-03-14,0.9790475481107198,1.0778917311787206,0.880203365042719,12303.272947883634,788.3546078501327,1
2020-03-15,0.950349742468646,1.0493702810922825,0.8513292038450095,12017.982361300752,751.7007025547942,1
2020-03-16,0.9302130251537996,1.0294453023481596,0.8309807479594397,11614.723608272578,719.1424838739956,1
2020-03-17,0.9133500227261264,1.0115682797714916,0.8151317656807613,11064.836241089663,683.4332004606022,1
2020-03-18,0.8900441093669763,0.9851280829597919,0.7949601357741607,10344.190184884377,640.0039335668966,1
2020-03-19,0.8519492674765139,0.9434153521131977,0.7604831828398301,9532.570983974118,611.237569052386,1
2020-03-20,0.8012478732528903,0.8901848252593262,0.7123109212464543,8750.687609784469,591.142142674871,1
2020-03-21,0.7500237542304011,0.8366245107048963,0.663422997755906,8046.2127602697155,559.9258460080465,1
2020-03-22,0.7100641234287065,0.7936598835083699,0.6264683633490431,7443.510216625847,533.1459514638011,1
2020-03-23,0.6845098704828293,0.7655766433042785,0.60344309766138,6903.5270429152515,513.4267518429034,1
2020-03-24,0.6702515855732504,0.7494323477555369,0.5910708233909638,6321.451147332131,476.3164915964458,1
2020-03-25,0.6614768196808841,0.7384508843220859,0.5845027550396823,5664.009085360266,427.51541965500945,1
2020-03-26,0.6529891666835248,0.7287967698071114,0.5771815635599382,5009.9514506808355,383.1374284485024,1
2020-03-27,0.6413838521557629,0.7183869425484555,0.5643807617630703,4429.094802884491,338.9224610132931,1
